class_name,method_name,cluster
HandlingEventFactory,create Handling Event,cluster-0
HandlingEventFactory,find Cargo,cluster-0
HandlingEventFactory,find Location,cluster-0
HandlingEventFactory,find Voyage,cluster-0
HandlingHistory,equals,cluster-0
HandlingHistory,get All Handling Events,cluster-0
HandlingHistory,get Distinct Events By Completion Time,cluster-0
HandlingHistory,get Most Recently Completed Event,cluster-0
HandlingHistory,Handling History,cluster-0
HandlingHistory,hash Code,cluster-0
HandlingHistory,same Value As,cluster-0
TrackingId,equals,cluster-3
TrackingId,get Id String,cluster-3
TrackingId,hash Code,cluster-3
TrackingId,same Value As,cluster-3
TrackingId,to String,cluster-3
TrackingId,Tracking Id,cluster-3
TrackingId,Tracking Id,cluster-3
Cargo,assign To Route,cluster-2
Cargo,Cargo,cluster-2
Cargo,Cargo,cluster-2
Cargo,derive Delivery Progress,cluster-2
Cargo,equals,cluster-2
Cargo,get Delivery,cluster-2
Cargo,get Itinerary,cluster-2
Cargo,get Origin,cluster-2
Cargo,get Route Specification,cluster-2
Cargo,get Tracking Id,cluster-2
Cargo,hash Code,cluster-2
Cargo,same Identity As,cluster-2
Cargo,set Origin,cluster-2
Cargo,specify New Route,cluster-2
Cargo,to String,cluster-2
Delivery,calculate Current Voyage,cluster-4
Delivery,calculate Eta,cluster-4
Delivery,calculate Last Known Location,cluster-4
Delivery,calculate Misdirection Status,cluster-4
Delivery,calculate Next Expected Activity,cluster-4
Delivery,calculate Routing Status,cluster-4
Delivery,calculate Transport Status,cluster-4
Delivery,calculate Unloaded At Destination,cluster-4
Delivery,Delivery,cluster-4
Delivery,Delivery,cluster-4
Delivery,derived From,cluster-4
Delivery,equals,cluster-4
Delivery,get Calculated At,cluster-4
Delivery,get Current Voyage,cluster-4
Delivery,get Estimated Time Of Arrival,cluster-4
Delivery,get Last Known Location,cluster-4
Delivery,get Next Expected Activity,cluster-4
Delivery,get Routing Status,cluster-4
Delivery,get Transport Status,cluster-4
Delivery,hash Code,cluster-4
Delivery,is Misdirected,cluster-4
Delivery,is Unloaded At Destination,cluster-4
Delivery,on Track,cluster-4
Delivery,same Value As,cluster-4
Delivery,set Calculated At,cluster-4
Delivery,set Last Event,cluster-4
Delivery,set Last Known Location,cluster-4
Delivery,set Misdirected,cluster-4
Delivery,set Routing Status,cluster-4
