class_name,method_name,cluster
PetClinicApplication,main,cluster-0
BaseEntity,get Id,cluster-0
BaseEntity,is New,cluster-0
BaseEntity,set Id,cluster-0
NamedEntity,get Name,cluster-5
NamedEntity,set Name,cluster-5
NamedEntity,to String,cluster-5
Person,get First Name,cluster-5
Person,get Last Name,cluster-5
Person,set First Name,cluster-5
Person,set Last Name,cluster-5
PetValidator,supports,cluster-4
PetValidator,validate,cluster-4
Visit,get Date,cluster-5
Visit,get Description,cluster-5
Visit,set Date,cluster-5
Visit,set Description,cluster-5
Visit,Visit,cluster-5
VisitController,init New Visit Form,cluster-4
VisitController,load Pet With Visit,cluster-4
VisitController,process New Visit Form,cluster-4
VisitController,set Allowed Fields,cluster-4
VisitController,Visit Controller,cluster-4
CacheConfiguration,cache Configuration,cluster-0
CacheConfiguration,petclinic Cache Configuration Customizer,cluster-0
CrashController,trigger Exception,cluster-0
WelcomeController,welcome,cluster-0
Vet,add Specialty,cluster-3
Vet,get Nr Of Specialties,cluster-3
Vet,get Specialties,cluster-3
Vet,get Specialties Internal,cluster-3
Vet,set Specialties Internal,cluster-3
VetController,add Pagination Model,cluster-4
VetController,find Paginated,cluster-4
VetController,show Resources Vet List,cluster-4
VetController,show Vet List,cluster-4
VetController,Vet Controller,cluster-4
Vets,get Vet List,cluster-0
EntityUtils,get By Id,cluster-0
Owner,add Pet,cluster-1
Owner,add Visit,cluster-1
Owner,get Address,cluster-1
Owner,get City,cluster-1
Owner,get Pet,cluster-1
Owner,get Pet,cluster-1
Owner,get Pet,cluster-1
Owner,get Pets,cluster-1
Owner,get Telephone,cluster-1
Owner,set Address,cluster-1
Owner,set City,cluster-1
Owner,set Telephone,cluster-1
Owner,to String,cluster-1
OwnerController,add Pagination Model,cluster-2
OwnerController,find Owner,cluster-2
OwnerController,find Paginated For Owners Last Name,cluster-2
OwnerController,init Creation Form,cluster-2
OwnerController,init Find Form,cluster-2
OwnerController,init Update Owner Form,cluster-2
OwnerController,Owner Controller,cluster-2
OwnerController,process Creation Form,cluster-2
OwnerController,process Find Form,cluster-2
OwnerController,process Update Owner Form,cluster-2
OwnerController,set Allowed Fields,cluster-2
OwnerController,show Owner,cluster-2
Pet,add Visit,cluster-3
Pet,get Birth Date,cluster-3
Pet,get Type,cluster-3
Pet,get Visits,cluster-3
Pet,set Birth Date,cluster-3
Pet,set Type,cluster-3
PetController,find Owner,cluster-2
PetController,find Pet,cluster-2
PetController,init Creation Form,cluster-2
PetController,init Owner Binder,cluster-2
PetController,init Pet Binder,cluster-2
PetController,init Update Form,cluster-2
PetController,Pet Controller,cluster-2
PetController,populate Pet Types,cluster-2
PetController,process Creation Form,cluster-2
PetController,process Update Form,cluster-2
PetTypeFormatter,parse,cluster-4
PetTypeFormatter,Pet Type Formatter,cluster-4
PetTypeFormatter,print,cluster-4
