class_name,method_name,cluster
Sequence,get Name,cluster-1
Sequence,get Next Id,cluster-1
Sequence,Sequence,cluster-1
Sequence,Sequence,cluster-1
Sequence,set Name,cluster-1
Sequence,set Next Id,cluster-1
AccountService,Account Service,cluster-1
AccountService,get Account,cluster-1
AccountService,get Account,cluster-1
AccountService,insert Account,cluster-1
AccountService,update Account,cluster-1
CatalogService,Catalog Service,cluster-1
CatalogService,get Category,cluster-1
CatalogService,get Category List,cluster-1
CatalogService,get Item,cluster-1
CatalogService,get Item List By Product,cluster-1
CatalogService,get Product,cluster-1
CatalogService,get Product List By Category,cluster-1
CatalogService,is Item In Stock,cluster-1
CatalogService,search Product List,cluster-1
OrderService,get Next Id,cluster-3
OrderService,get Order,cluster-3
OrderService,get Orders By Username,cluster-3
OrderService,insert Order,cluster-3
OrderService,Order Service,cluster-3
AbstractActionBean,get Context,cluster-1
AbstractActionBean,set Context,cluster-1
AbstractActionBean,set Message,cluster-1
AccountActionBean,clear,cluster-0
AccountActionBean,edit Account,cluster-0
AccountActionBean,edit Account Form,cluster-0
AccountActionBean,get Account,cluster-0
AccountActionBean,get Categories,cluster-0
AccountActionBean,get Languages,cluster-0
AccountActionBean,get My List,cluster-0
AccountActionBean,get Password,cluster-0
AccountActionBean,get Username,cluster-0
AccountActionBean,is Authenticated,cluster-0
AccountActionBean,new Account,cluster-0
AccountActionBean,new Account Form,cluster-0
AccountActionBean,set My List,cluster-0
AccountActionBean,set Password,cluster-0
AccountActionBean,set Username,cluster-0
AccountActionBean,signoff,cluster-0
AccountActionBean,signon,cluster-0
AccountActionBean,signon Form,cluster-0
CartActionBean,add Item To Cart,cluster-3
CartActionBean,check Out,cluster-3
CartActionBean,clear,cluster-3
CartActionBean,get Cart,cluster-3
CartActionBean,remove Item From Cart,cluster-3
CartActionBean,set Cart,cluster-3
CartActionBean,set Working Item Id,cluster-3
CartActionBean,update Cart Quantities,cluster-3
CartActionBean,view Cart,cluster-3
CatalogActionBean,clear,cluster-0
CatalogActionBean,get Category,cluster-0
CatalogActionBean,get Category Id,cluster-0
CatalogActionBean,get Category List,cluster-0
CatalogActionBean,get Item,cluster-0
CatalogActionBean,get Item Id,cluster-0
CatalogActionBean,get Item List,cluster-0
CatalogActionBean,get Keyword,cluster-0
CatalogActionBean,get Product,cluster-0
CatalogActionBean,get Product Id,cluster-0
CatalogActionBean,get Product List,cluster-0
CatalogActionBean,search Products,cluster-0
CatalogActionBean,set Category,cluster-0
CatalogActionBean,set Category Id,cluster-0
CatalogActionBean,set Category List,cluster-0
CatalogActionBean,set Item,cluster-0
CatalogActionBean,set Item Id,cluster-0
CatalogActionBean,set Item List,cluster-0
CatalogActionBean,set Keyword,cluster-0
CatalogActionBean,set Product,cluster-0
CatalogActionBean,set Product Id,cluster-0
CatalogActionBean,set Product List,cluster-0
CatalogActionBean,view Category,cluster-0
CatalogActionBean,view Item,cluster-0
CatalogActionBean,view Main,cluster-0
CatalogActionBean,view Product,cluster-0
OrderActionBean,clear,cluster-0
OrderActionBean,get Credit Card Types,cluster-0
OrderActionBean,get Order,cluster-0
OrderActionBean,get Order Id,cluster-0
OrderActionBean,get Order List,cluster-0
OrderActionBean,is Confirmed,cluster-0
OrderActionBean,is Shipping Address Required,cluster-0
OrderActionBean,list Orders,cluster-0
OrderActionBean,new Order,cluster-0
OrderActionBean,new Order Form,cluster-0
OrderActionBean,set Confirmed,cluster-0
OrderActionBean,set Order,cluster-0
OrderActionBean,set Order Id,cluster-0
OrderActionBean,set Shipping Address Required,cluster-0
OrderActionBean,view Order,cluster-0
Account,get Address1,cluster-0
Account,get Address2,cluster-0
Account,get Banner Name,cluster-0
Account,get City,cluster-0
Account,get Country,cluster-0
Account,get Email,cluster-0
Account,get Favourite Category Id,cluster-0
Account,get First Name,cluster-0
Account,get Language Preference,cluster-0
Account,get Last Name,cluster-0
Account,get Password,cluster-0
Account,get Phone,cluster-0
Account,get State,cluster-0
Account,get Status,cluster-0
