classname,CBO,IC,OC,CAM,NCO,DIT,RFC,LOC,NCA,xmi_id
net.abyres.mym.admin.dao.AgendaDaoImpl,2.000000,0.000000,7.000000,0.500000,2.000000,1.000000,3.000000,57.000000,0.000000,EAID_689A8842_F09D_4a43_BF08_6B77DFA56107
net.abyres.mym.admin.dao.AttendanceRankDaoImpl,2.000000,0.000000,13.000000,0.560000,5.000000,1.000000,6.000000,142.000000,0.000000,EAID_53BD0D3A_5C09_42f3_99F2_424ED6D9006F
net.abyres.mym.admin.dao.CommitteeDaoImpl,3.000000,0.000000,82.000000,0.327381,28.000000,1.000000,47.000000,773.000000,0.000000,EAID_5ED454EC_DF77_4837_BF7F_A86423037577
net.abyres.mym.admin.dao.CommitteeHistoryDaoImpl,2.000000,0.000000,14.000000,0.750000,2.000000,1.000000,0.000000,49.000000,0.000000,EAID_0CF1910F_CAAE_43d3_8D81_653A399A3B28
net.abyres.mym.admin.dao.CommitteeUserDaoImpl,2.000000,0.000000,52.000000,0.317460,27.000000,1.000000,23.000000,668.000000,0.000000,EAID_61DE73DF_D57F_4a90_ADC7_DB86D57C3394
net.abyres.mym.admin.dao.GlobalSettingDaoImp,2.000000,0.000000,17.000000,0.666667,3.000000,1.000000,12.000000,110.000000,0.000000,EAID_E9E69C86_B06A_445d_9832_F6EE3426F123
net.abyres.mym.admin.dao.InstanceAdminDaoImpl,2.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,7.000000,0.000000,EAID_B433A61D_33B3_470f_A51D_265A59E12CED
net.abyres.mym.admin.dao.InstanceAdminTempDaoImpl,2.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,7.000000,0.000000,EAID_7E49A1E6_D46E_4fa1_B8AD_CEC963A45556
net.abyres.mym.admin.dao.InstanceSettingDaoImpl,2.000000,0.000000,7.000000,0.666667,2.000000,1.000000,3.000000,59.000000,0.000000,EAID_F5804099_241E_425c_92D6_F66C881E68F7
net.abyres.mym.admin.dao.OrganisationChartDaoImpl,2.000000,0.000000,69.000000,0.381818,22.000000,1.000000,45.000000,569.000000,0.000000,EAID_01A1EF46_A448_4a8a_AC65_5BA740930C1D
net.abyres.mym.admin.dao.OrganisationSetupDaoImpl,2.000000,0.000000,27.000000,0.416667,6.000000,1.000000,19.000000,159.000000,0.000000,EAID_51C3E5CB_F912_46fa_8779_1D90FC15F8D0
net.abyres.mym.admin.dao.SystemSettingDaoImpl,2.000000,0.000000,21.000000,0.666667,3.000000,1.000000,16.000000,104.000000,0.000000,EAID_DDF3D11B_5FAE_4876_A40C_41E74F517F59
net.abyres.mym.admin.dao.UserTempDaoImpl,2.000000,0.000000,21.000000,0.297619,12.000000,1.000000,7.000000,326.000000,0.000000,EAID_EC7DFA71_4322_4ff2_A1E5_C78CE7056D77
