Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,EAID_11111111_5487_4080_A7F4_41526CB0AA00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.dto.AddressInfo,EAID_29C7292E_68C2_4972_AB71_26F75FBC342F,0.28235295,0.7176471,0.75,7,17,17,6,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1
EA Model.dto.BookingInfo,EAID_4FD9346F_72E3_48ee_BD9B_689E3076AABE,0.25454545,0.74545455,0.65090907,5,11,11,4,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
EA Model.dto.BookingPKInfo,EAID_96B6977A_5E3D_4a38_BD66_ADF1FA8A9F04,0.44444445,0.5555556,0.6,2,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
EA Model.dto.BookingReceiptInfo,EAID_BB4CCCFA_1249_4b36_BF10_B096D29C2762,0.3611111,0.6388889,0.5694444,3,9,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.dto.CustomerInfo,EAID_B5AF1F25_B5A9_4687_95D8_2B14934DDB5D,0.21768707,0.7823129,0.71156466,9,21,21,8,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1
EA Model.dto.FlightInfo,EAID_661A09F7_AE8C_4b11_9BD0_EFAAFBA0B6BF,0.17391305,0.82608694,0.7302371,11,23,23,10,11,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,3,0,0,0,0,0,0,0,0,1
EA Model.dto.FlightPKInfo,EAID_FF60A806_E2FE_4a04_823A_CE147E8DD057,0.44444445,0.5555556,0.6,2,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
EA Model.dto.FlightSegmentInfo,EAID_80BCFE92_DF38_4cde_8BF3_BF162825048A,0.325,0.675,0.59444445,4,10,10,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1
EA Model.dto.TripFlightOptions,EAID_635694BC_720C_40f4_AB24_913A351BDD78,0.5,0.5,0.3333333,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.dto.TripLegInfo,EAID_0D2E3DC5_A9EE_4e73_8CB7_E31FC0B10338,0.3,0.7,0.63111115,6,10,10,5,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
