Name,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.internal.DefaultBookingService,0.46666667,0.5333333,0.56666666,4,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.util.ApplicationSettings,0.75,0.25,0.5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.util.DateConverter,0.53333336,0.46666664,0.46666664,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.util.RestConfiguration,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.util.SampleDataGenerator,0.5,0.5,0.6,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.Cargo,0.11282051,0.8871795,0.7934066,7,15,14,1,6,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,5,22,11,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.Delivery,0.109375,0.890625,0.812356,13,32,20,7,10,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,5,1,23,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.HandlingActivity,0.2,0.8,0.6611111,4,10,9,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,5,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.Itinerary,0.11363637,0.8863636,0.7865014,3,12,7,0,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,15,4,0,0,0,0,0,0,0,0,1
