Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,EAID_11111111_5487_4080_A7F4_41526CB0AA00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Account,EAID_CF18179F_0B12_40e1_AEE5_200C51562CB1,0.5,0.5,0.6931217,19,36,36,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Cart,EAID_42200E2E_0AE2_4e52_80D6_7AB2A6927B7B,0.2125,0.7875,0.6472222,3,10,10,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.CartItem,EAID_A317C1EE_6CFC_442b_B7F7_9715E776BF4A,0.26666668,0.73333335,0.6111111,5,9,8,3,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Category,EAID_ADEA233A_C303_4488_A994_7EF3F31C11DE,0.71428573,0.28571427,0.71428573,4,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Item,EAID_ABBD4F09_BCF6_43ee_BFB6_224B4F700FD6,0.296,0.704,0.6533333,14,25,25,12,12,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,1,10,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.LineItem,EAID_174B2DF0_6A2F_448e_AD0B_9A246A54BD3D,0.20535715,0.79464287,0.7011905,8,16,15,6,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Order,EAID_44682E47_1BA8_4da7_9442_9155E4E5ED0C,0.15438597,0.845614,0.87593985,28,57,57,27,27,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,7,4,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Product,EAID_C2D7FA81_79B5_45cb_A908_F0A45E615A03,0.7222222,0.2777778,0.7222222,5,9,9,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,6,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Sequence,EAID_FA12CED6_9E78_43e0_AD46_AEA2163ED8D9,0.375,0.625,0.48333335,3,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.service.AccountService,EAID_FF6C246B_A4AE_4775_BFA9_0A8C62BD5C63,0.4,0.6,0.52,1,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,5,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.service.CatalogService,EAID_1D023B7A_6E5B_4a20_A67E_023CC1589ED6,0.17592593,0.8240741,0.75,3,9,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,6,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.service.OrderService,EAID_958768BF_97AE_4533_A470_7AE68E0C0602,0.26,0.74,0.53999996,4,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,6,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.AbstractActionBean,EAID_D9B2E202_254A_4fe1_9E0D_118D16411761,0.5555556,0.44444442,0.3333333,3,3,2,2,1,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.AccountActionBean,EAID_76F5C028_BFFC_4e58_B36E_73B4B6EB76EC,0.16666667,0.8333333,0.7320261,11,18,18,3,7,0,0,0,0,1,1,0,3,3,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.CartActionBean,EAID_4A9B6FA8_F6D8_46b8_B860_1941D5D7C757,0.24444444,0.75555557,0.6,6,9,9,2,1,0,0,0,0,1,1,0,3,3,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.CatalogActionBean,EAID_6C5910C8_EC4D_454c_88F4_EB27C1FDDCC5,0.15384616,0.84615386,0.76,17,26,26,10,10,0,0,0,0,1,1,0,3,3,0,0,0,0,4,0,4,0,6,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.OrderActionBean,EAID_FAFF51A1_CB85_4ad8_8105_A9DEFC5E3E11,0.18095239,0.81904763,0.7034013,12,15,15,4,6,0,0,0,0,1,1,0,3,3,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1
