Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,EAID_11111111_5487_4080_A7F4_41526CB0AA00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.TradeAction,EAID_5DE2F115_7C30_40b6_83C4_049847B69D2F,0.13025211,0.8697479,0.7958294,6,28,27,0,10,0,0,0,0,0,0,0,0,0,1,0,1,8,0,6,4,1,19,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,EAID_DB99B9DA_B58C_4837_8836_01A752830FC9,0.15555556,0.84444445,0.748538,8,20,20,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,7,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,EAID_8B2C5A60_5538_460e_BC00_9E227446A874,0.47435898,0.525641,0.7528205,13,26,26,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,EAID_B936EC93_11AA_4721_8CCB_ADE5E7334351,0.8,0.19999999,0.6,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.direct.TradeDirect,EAID_F6FADA4A_D2FC_4674_A10A_67AC956BE827,0.10945274,0.8905473,0.828509,43,67,31,1,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,EAID_E86D6132_C2A0_4db1_AF14_2B2CEE299A44,0.33333334,0.6666666,0.3333333,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,EAID_DF41C371_51B6_455e_916E_893256AD1504,0.5,0.5,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,EAID_17D173A3_A690_4f55_8EDB_BE539F6ADFF1,0.625,0.375,0.4166667,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.ejb3.quotePriceComparator,EAID_A301F815_4B2C_469a_9783_BBCC9FB0A637,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
