Name,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.MavenWrapperDownloader,0.625,0.375,0.25,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.PetClinicApplication,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.PetClinicIntegrationTests,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.model.BaseEntity,0.44444445,0.5555556,0.3333333,1,3,3,1,2,0,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.model.NamedEntity,0.6666667,0.3333333,0.6666666,1,3,3,1,1,0,0,3,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.model.Person,0.75,0.25,0.6666666,2,4,4,2,2,0,0,2,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.model.ValidatorTests,0.5,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.Owner,0.22115384,0.77884614,0.7147436,4,13,13,3,7,0,0,0,0,2,2,0,7,3,0,0,1,1,0,0,0,13,5,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.OwnerController,0.21794872,0.78205127,0.6969697,2,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.Pet,0.3,0.7,0.5333333,3,6,6,2,3,0,0,0,0,2,2,0,6,2,0,0,2,2,0,0,1,7,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetController,0.24166666,0.7583333,0.63148147,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetType,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,6,2,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetTypeFormatter,0.53333336,0.46666664,0.3333333,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetValidator,0.5,0.5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.Visit,0.4,0.6,0.39999998,2,5,5,2,2,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.VisitController,0.3,0.7,0.52,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.OwnerControllerTests,0.5,0.5,0.85714287,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetControllerTests,1,0,1,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetTypeFormatterTests,0.5,0.5,0.6,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.VisitControllerTests,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.system.CacheConfiguration,0.5,0.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.system.CrashController,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.system.WelcomeController,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.system.CrashControllerTests,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.vet.Specialty,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.vet.Vet,0.28,0.72,0.52,1,5,3,1,3,0,0,0,0,2,2,0,7,3,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.vet.VetController,0.34285715,0.6571429,0.48571426,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.vet.Vets,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.vet.VetControllerTests,0.5,0.5,0.39999998,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.vet.VetTests,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.service.ClinicServiceTests,1,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.service.EntityUtils,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
