Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,EAID_11111111_5487_4080_A7F4_41526CB0AA00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.utils.ListProperties,EAID_37C0AAC8_AD8F_416c_8A44_46E29AF9462C,0.44444445,0.5555556,0.3333333,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.utils.Util,EAID_D3BBDC61_20EF_4a70_8DD5_D5DCF0C46318,0.23958333,0.7604167,0.70694447,59,16,16,1,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.BackOrderMgr,EAID_E17FA2E4_8CC4_4f38_BB04_010B0EAFB930,0.5277778,0.4722222,0.625,1,9,9,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.CatalogMgr,EAID_996A0B98_1003_435b_941B_01A13C57E32D,0.28125,0.71875,0.64285713,1,8,6,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,0,3,4,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.CustomerMgr,EAID_E5909140_BBD2_4e0a_A6F8_D56A5CA84F5B,0.875,0.125,0.75,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,0,1,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.EMailMessage,EAID_DB996AE9_9F2C_404f_8AE7_A4A12CFE2A99,0.6,0.39999998,0.8,4,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.MailerAppException,EAID_C22A34D8_23A6_4efc_B9F3_86D4613E936A,0.5,0.5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.MailerBean,EAID_0FD19656_D611_469e_B41D_D98A4A3F5AE0,0.5555556,0.44444442,0.5555556,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.NoSupplierException,EAID_2C1FC251_0464_4711_8DBD_1E309407CDA4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.ResetDBBean,EAID_9EE051E9_EA6C_4368_A0D5_4C55FE05D460,0.5,0.5,0.6666666,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,5,1,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.ShoppingCartBean,EAID_F991B2C1_684C_411a_83F3_2D64BC752FEF,0.2037037,0.7962963,0.7104377,2,12,10,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,1,6,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.ShoppingCartContent,EAID_753CCFB0_8D5F_4ff5_8A7C_96FD35BF05E2,0.39285713,0.60714287,0.45238096,2,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.SuppliersBean,EAID_F889570F_AFAD_42e6_BA62_5D4042FAEFC0,0.375,0.625,0.4166667,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.Supplier,EAID_CF9A7231_6E75_4ef0_A601_7551FD1D0DA9,0.49122807,0.5087719,0.7270955,8,19,19,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.BackOrder,EAID_3E34446B_5CC3_4f16_B285_1716272644E6,0.25925925,0.7407408,0.6230937,7,18,18,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.Customer,EAID_8BD6A0A0_1756_4874_A3A5_FE6DA6E97948,0.36458334,0.6354166,0.8106884,10,24,24,10,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,9,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.Inventory,EAID_3CE60992_8D52_40d3_BDEC_60CF73728C86,0.15897436,0.84102565,0.7819163,19,39,39,18,17,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,1,24,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.Order,EAID_65010B27_34D5_443d_B059_E0DF4B616DA7,0.19318181,0.8068182,0.82962966,28,55,55,26,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,5,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.PK,EAID_57C31AFD_2132_492c_9471_40CD30FA6C87,0.25,0.75,0.5,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
