Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,EAID_11111111_5487_4080_A7F4_41526CB0AA00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
EA Model.Starter Class Diagram.WaitForMySqlPlugin,EAID_29142735_DFBC_417c_8BBA_B299EE1A4A49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.WaitForMySql,EAID_6F8DFBC1_7285_44f1_A526_1FC74A8A1687,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.net.chrisrichardson.eventstore.examples.customersandorders.commonswagger.CommonSwaggerConfiguration,EAID_BB6CC577_0B2E_4ac7_B6DB_C9603E31C326,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.net.chrisrichardson.ftgo.FtgoApplicationMain,EAID_162A497E_4803_42be_A5EC_6816F782AA49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.net.chrisrichardson.ftgo.FtgoApplicationTest,EAID_DCF9E839_2315_4a11_9216_0F0647A7BFBE,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.net.chrisrichardson.ftgo.Config,EAID_F28E25A9_4A57_467c_A91C_F481C1F4370E,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.net.chrisrichardson.ftgo.common.MoneySerializationTest,EAID_20DBAB85_8D8B_4d51_AEED_07281FD69F11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.net.chrisrichardson.ftgo.common.CommonConfiguration,EAID_24A3F7FD_6072_49c4_8792_3F11C921396C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.net.chrisrichardson.ftgo.common.MoneyModule,EAID_2867EDED_C03E_4bcd_80A6_1B71653B0083,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
