Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,EAID_11111111_5487_4080_A7F4_41526CB0AA00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.AgendaDaoImpl,EAID_689A8842_F09D_4a43_BF08_6B77DFA56107,0.5,0.5,0,0,2,2,0,2,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.AttendanceRankDaoImpl,EAID_53BD0D3A_5C09_42f3_99F2_424ED6D9006F,0.56,0.44,0.64,0,5,5,0,2,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.CommitteeDaoImpl,EAID_5ED454EC_DF77_4837_BF7F_A86423037577,0.32738096,0.67261904,0.7544092,0,28,28,0,26,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.CommitteeHistoryDaoImpl,EAID_0CF1910F_CAAE_43d3_8D81_653A399A3B28,0.75,0.25,0.5,0,2,2,0,2,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.CommitteeUserDaoImpl,EAID_61DE73DF_D57F_4a90_ADC7_DB86D57C3394,0.31746033,0.6825397,0.7281237,0,27,27,0,18,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.GlobalSettingDaoImp,EAID_E9E69C86_B06A_445d_9832_F6EE3426F123,0.6666667,0.3333333,0.5555556,0,3,3,0,2,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.InstanceAdminDaoImpl,EAID_B433A61D_33B3_470f_A51D_265A59E12CED,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.InstanceAdminTempDaoImpl,EAID_7E49A1E6_D46E_4fa1_B8AD_CEC963A45556,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.InstanceSettingDaoImpl,EAID_F5804099_241E_425c_92D6_F66C881E68F7,0.6666667,0.3333333,0.3333333,0,2,2,0,1,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EA Model.Model.Starter Class Diagram.net.abyres.mym.admin.dao.OrganisationChartDaoImpl,EAID_01A1EF46_A448_4a8a_AC65_5BA740930C1D,0.38181818,0.6181818,0.67965364,0,22,22,0,18,0,0,0,0,1,1,0,21,2,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
