Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,EAID_11111111_5487_4080_A7F4_41526CB0AA00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.MavenWrapperDownloader,EAID_FD703D10_D001_4c85_B54B_28963E9F417C,0.625,0.375,0.25,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.PetClinicApplication,EAID_94F298DA_1BBE_4c61_BA6C_FA456317E039,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.PetClinicIntegrationTests,EAID_6296BF66_68DC_4677_A21B_3164314E06B4,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.model.BaseEntity,EAID_D7E62003_AAD4_4b40_B85E_BCB8FF1D3C9D,0.44444445,0.5555556,0.3333333,1,3,3,1,2,0,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.model.NamedEntity,EAID_73B8B365_EA2E_4c4b_94AF_5065D38531E2,0.6666667,0.3333333,0.6666666,1,3,3,1,1,0,0,3,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.model.Person,EAID_EE936E15_C09F_476f_8AE6_71F666206E8F,0.75,0.25,0.6666666,2,4,4,2,2,0,0,2,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.model.ValidatorTests,EAID_8F83AF08_F77F_4637_A172_37F3E9580F7E,0.5,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.Owner,EAID_CB92B5A7_7D6E_4baf_8880_1A52DAC2794B,0.22115384,0.77884614,0.7147436,4,13,13,3,7,0,0,0,0,2,2,0,7,3,0,0,1,1,0,0,0,13,5,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.OwnerController,EAID_13F2EA6E_1748_4e3f_B54D_58D5171F0DA5,0.21794872,0.78205127,0.6969697,2,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.Pet,EAID_7354EDB0_B080_4a75_8EA1_BF2B2B6D6A40,0.3,0.7,0.5333333,3,6,6,2,3,0,0,0,0,2,2,0,6,2,0,0,2,2,0,0,1,7,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetController,EAID_D0318A24_9686_4079_A954_E4FD59175A70,0.24166666,0.7583333,0.63148147,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetType,EAID_C6BFE83D_429D_466d_B618_84C4202121BB,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,6,2,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetTypeFormatter,EAID_83330E44_AD50_4590_B564_D2E2AED7F9AE,0.53333336,0.46666664,0.3333333,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetValidator,EAID_741D35FA_0196_479a_95CD_FE13AAF2FE03,0.5,0.5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.Visit,EAID_9F38767F_7708_418a_BC63_412E89F047BA,0.4,0.6,0.39999998,2,5,5,2,2,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.VisitController,EAID_B8E2A761_DD3A_410d_918A_B9120BF0124D,0.3,0.7,0.52,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.OwnerControllerTests,EAID_323819DD_2620_48f5_85F2_F3C89BEEB5F6,0.5,0.5,0.85714287,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.springframework.samples.petclinic.owner.PetControllerTests,EAID_D9A7EE19_38CD_4cac_B65D_72EDBAD90F42,1,0,1,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
