Name,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Account,0.5,0.5,0.6931217,19,36,36,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Cart,0.2125,0.7875,0.6472222,3,10,10,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.CartItem,0.26666668,0.73333335,0.6111111,5,9,8,3,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Category,0.71428573,0.28571427,0.71428573,4,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Item,0.296,0.704,0.6533333,14,25,25,12,12,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,1,10,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.LineItem,0.20535715,0.79464287,0.7011905,8,16,15,6,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Order,0.15438597,0.845614,0.87593985,28,57,57,27,27,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,7,4,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Product,0.7222222,0.2777778,0.7222222,5,9,9,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,6,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.domain.Sequence,0.375,0.625,0.48333335,3,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.service.AccountService,0.4,0.6,0.52,1,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,5,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.service.CatalogService,0.17592593,0.8240741,0.75,3,9,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,6,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.service.OrderService,0.26,0.74,0.53999996,4,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,6,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.AbstractActionBean,0.5555556,0.44444442,0.3333333,3,3,2,2,1,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.AccountActionBean,0.16666667,0.8333333,0.7320261,11,18,18,3,7,0,0,0,0,1,1,0,3,3,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.CartActionBean,0.24444444,0.75555557,0.6,6,9,9,2,1,0,0,0,0,1,1,0,3,3,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.CatalogActionBean,0.15384616,0.84615386,0.76,17,26,26,10,10,0,0,0,0,1,1,0,3,3,0,0,0,0,4,0,4,0,6,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.mybatis.jpetstore.web.actions.OrderActionBean,0.18095239,0.81904763,0.7034013,12,15,15,4,6,0,0,0,0,1,1,0,3,3,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1
