classname,CBO,IC,OC,CAM,NCO,DIT,RFC,LOC,NCA,xmi_id
cargotracker.application.internal.DefaultBookingService,6.000000,0.000000,38.000000,0.466667,5.000000,0.000000,6.000000,81.000000,4.000000,EAID_9D3D1DDE_F7C9_489f_AA1D_96A3C2BFAF76
cargotracker.application.internal.DefaultCargoInspectionService,4.000000,0.000000,8.000000,1.000000,1.000000,0.000000,0.000000,37.000000,4.000000,EAID_2F8A0200_A29B_49b4_8F8F_2F3DD8F39158
cargotracker.application.internal.DefaultHandlingEventService,5.000000,0.000000,7.000000,1.000000,1.000000,0.000000,0.000000,37.000000,4.000000,EAID_B7F8F7E1_8E45_4978_A42C_BC07DB680AD1
cargotracker.application.util.ApplicationSettings,0.000000,3.000000,0.000000,0.750000,2.000000,0.000000,0.000000,16.000000,3.000000,EAID_9CF802A2_A419_4561_B2FA_CB31AB72349C
cargotracker.application.util.DateConverter,0.000000,12.000000,0.000000,0.533333,5.000000,0.000000,0.000000,26.000000,4.000000,EAID_A17FB413_A3D2_4b58_AB38_393B3C27AC6B
cargotracker.application.util.RestConfiguration,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,15.000000,0.000000,EAID_10BBF4A0_2FBB_4044_96AB_D6E1CD430E4D
cargotracker.application.util.SampleDataGenerator,16.000000,0.000000,60.000000,0.500000,5.000000,0.000000,0.000000,296.000000,4.000000,EAID_649AED16_B514_486d_8E68_B70095DE11A0
cargotracker.domain.model.cargo.Cargo,7.000000,103.000000,40.000000,0.112821,15.000000,0.000000,36.000000,101.000000,7.000000,EAID_DC4EC423_04B0_4480_925B_18A0117FBE58
cargotracker.domain.model.cargo.Delivery,9.000000,65.000000,83.000000,0.109375,32.000000,0.000000,25.000000,281.000000,13.000000,EAID_B3E9A6CA_EAC0_4762_A294_5FFF8BC86C5F
cargotracker.domain.model.cargo.HandlingActivity,3.000000,19.000000,11.000000,0.200000,10.000000,0.000000,11.000000,93.000000,4.000000,EAID_442BE9A6_9AA1_4ecc_8A97_D0CE165A8127
cargotracker.domain.model.cargo.Itinerary,4.000000,50.000000,49.000000,0.113636,12.000000,0.000000,29.000000,126.000000,3.000000,EAID_B5C538BC_5D09_436e_BEA4_57F2E0D51768
cargotracker.domain.model.cargo.Leg,2.000000,42.000000,8.000000,0.151515,11.000000,0.000000,8.000000,118.000000,7.000000,EAID_2D197656_D7C3_4484_BCEE_4C4EFB034C68
cargotracker.domain.model.cargo.RouteSpecification,3.000000,52.000000,17.000000,0.180556,9.000000,1.000000,8.000000,80.000000,4.000000,EAID_2A42ED3E_AD63_4927_A0E7_6DAEEF48C2F7
