classname,CBO,IC,OC,CAM,NCO,DIT,RFC,LOC,NCA,xmi_id
AddressInfo,0.000000,4.000000,0.000000,0.282353,17.000000,0.000000,0.000000,122.000000,7.000000,EAID_29C7292E_68C2_4972_AB71_26F75FBC342F
BookingInfo,1.000000,0.000000,2.000000,0.254545,11.000000,0.000000,2.000000,57.000000,5.000000,EAID_4FD9346F_72E3_48ee_BD9B_689E3076AABE
BookingPKInfo,0.000000,2.000000,0.000000,0.444444,6.000000,0.000000,0.000000,26.000000,2.000000,EAID_96B6977A_5E3D_4a38_BD66_ADF1FA8A9F04
BookingReceiptInfo,0.000000,0.000000,0.000000,0.361111,9.000000,0.000000,0.000000,37.000000,3.000000,EAID_BB4CCCFA_1249_4b36_BF10_B096D29C2762
CustomerInfo,1.000000,0.000000,4.000000,0.217687,21.000000,0.000000,4.000000,144.000000,9.000000,EAID_B5AF1F25_B5A9_4687_95D8_2B14934DDB5D
FlightInfo,2.000000,2.000000,5.000000,0.173913,23.000000,0.000000,5.000000,107.000000,11.000000,EAID_661A09F7_AE8C_4b11_9BD0_EFAAFBA0B6BF
FlightPKInfo,0.000000,2.000000,0.000000,0.444444,6.000000,0.000000,0.000000,22.000000,2.000000,EAID_FF60A806_E2FE_4a04_823A_CE147E8DD057
FlightSegmentInfo,0.000000,3.000000,0.000000,0.325000,10.000000,0.000000,0.000000,40.000000,4.000000,EAID_80BCFE92_DF38_4cde_8BF3_BF162825048A
TripFlightOptions,1.000000,0.000000,3.000000,0.500000,4.000000,0.000000,0.000000,23.000000,2.000000,EAID_635694BC_720C_40f4_AB24_913A351BDD78
TripLegInfo,1.000000,3.000000,2.000000,0.300000,10.000000,0.000000,0.000000,46.000000,6.000000,EAID_0D2E3DC5_A9EE_4e73_8CB7_E31FC0B10338
