classname,CBO,IC,OC,CAM,NCO,DIT,RFC,LOC,NCA,xmi_id
pbw.ejb.BackOrderMgr,2.000000,13.000000,20.000000,0.527778,9.000000,0.000000,0.000000,102.000000,1.000000,EAID_E17FA2E4_8CC4_4f38_BB04_010B0EAFB930
pbw.ejb.CatalogMgr,1.000000,22.000000,11.000000,0.281250,8.000000,0.000000,11.000000,71.000000,1.000000,EAID_996A0B98_1003_435b_941B_01A13C57E32D
pbw.ejb.CustomerMgr,1.000000,17.000000,14.000000,0.875000,4.000000,0.000000,14.000000,66.000000,1.000000,EAID_E5909140_BBD2_4e0a_A6F8_D56A5CA84F5B
pbw.ejb.EMailMessage,0.000000,5.000000,0.000000,0.600000,5.000000,0.000000,0.000000,26.000000,4.000000,EAID_DB996AE9_9F2C_404f_8AE7_A4A12CFE2A99
pbw.ejb.MailerAppException,0.000000,2.000000,0.000000,0.500000,2.000000,0.000000,0.000000,8.000000,1.000000,EAID_C22A34D8_23A6_4efc_B9F3_86D4613E936A
pbw.ejb.MailerBean,3.000000,4.000000,14.000000,0.555556,3.000000,0.000000,0.000000,86.000000,2.000000,EAID_0FD19656_D611_469e_B41D_D98A4A3F5AE0
pbw.ejb.NoSupplierException,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,10.000000,1.000000,EAID_2C1FC251_0464_4711_8DBD_1E309407CDA4
pbw.ejb.ResetDBBean,8.000000,7.000000,17.000000,0.500000,4.000000,0.000000,0.000000,252.000000,6.000000,EAID_9EE051E9_EA6C_4368_A0D5_4C55FE05D460
pbw.ejb.ShoppingCartBean,5.000000,16.000000,38.000000,0.203704,12.000000,0.000000,28.000000,177.000000,2.000000,EAID_F991B2C1_684C_411a_83F3_2D64BC752FEF
pbw.ejb.ShoppingCartContent,1.000000,0.000000,8.000000,0.392857,7.000000,0.000000,0.000000,53.000000,2.000000,EAID_753CCFB0_8D5F_4ff5_8A7C_96FD35BF05E2
pbw.ejb.SuppliersBean,1.000000,9.000000,12.000000,0.375000,4.000000,0.000000,12.000000,72.000000,1.000000,EAID_F889570F_AFAD_42e6_BA62_5D4042FAEFC0
pbw.jpa.BackOrder,1.000000,35.000000,5.000000,0.259259,18.000000,0.000000,5.000000,112.000000,7.000000,EAID_3E34446B_5CC3_4f16_B285_1716272644E6
pbw.jpa.Customer,0.000000,52.000000,0.000000,0.364583,24.000000,0.000000,0.000000,123.000000,10.000000,EAID_8BD6A0A0_1756_4874_A3A5_FE6DA6E97948
pbw.jpa.Inventory,1.000000,131.000000,3.000000,0.158974,39.000000,0.000000,3.000000,200.000000,19.000000,EAID_3CE60992_8D52_40d3_BDEC_60CF73728C86
pbw.jpa.Order,2.000000,36.000000,12.000000,0.193182,55.000000,0.000000,4.000000,265.000000,28.000000,EAID_65010B27_34D5_443d_B059_E0DF4B616DA7
pbw.jpa.OrderItem,2.000000,13.000000,19.000000,0.208333,24.000000,0.000000,19.000000,161.000000,11.000000,EAID_0915DCDE_DDFF_48f8_A858_376C8F842175
pbw.jpa.OrderKey,0.000000,0.000000,0.000000,0.190476,6.000000,0.000000,0.000000,33.000000,2.000000,EAID_BD87CC94_C861_44e1_8200_82E6D3EAD067
pbw.jpa.PK,0.000000,0.000000,0.000000,0.250000,4.000000,0.000000,0.000000,0.000000,3.000000,EAID_57C31AFD_2132_492c_9471_40CD30FA6C87
pbw.jpa.Supplier,0.000000,14.000000,0.000000,0.491228,19.000000,0.000000,0.000000,89.000000,8.000000,EAID_CF9A7231_6E75_4ef0_A601_7551FD1D0DA9
pbw.migration.RedirectionFilter,0.000000,0.000000,0.000000,0.466667,3.000000,0.000000,0.000000,62.000000,2.000000,EAID_66745B64_FAFF_4670_85A1_7C91C6631167
