rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.FilterBar,has param,rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsFilter,FilterBar uses NewsFilter [128]
rssowl-2___0___5.org.rssowl.core.internal.persist.pref.DefaultPreferences,references,rssowl-2___0___5.org.rssowl.core.persist.pref.Preference,DefaultPreferences uses Preference [114]
rssowl-2___0___5.org.rssowl.core.internal.persist.search.ModelSearchQueries,has param,rssowl-2___0___5.org.rssowl.core.persist.SearchSpecifier,ModelSearchQueries uses SearchSpecifier [89]
rssowl-2___0___5.org.rssowl.core.internal.interpreter.OPMLImporter,references,rssowl-2___0___5.org.rssowl.core.internal.interpreter.OPMLConstants,OPMLImporter uses OPMLConstants [81]
rssowl-2___0___5.org.rssowl.core.internal.interpreter.OPMLExporter,references,rssowl-2___0___5.org.rssowl.core.internal.interpreter.OPMLConstants,OPMLExporter uses OPMLConstants [81]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.FilterBar,has param,rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsGrouping,FilterBar uses NewsGrouping [74]
rssowl-2___0___5.org.rssowl.ui.internal.PreferencesInitializer,references,rssowl-2___0___5.org.rssowl.core.persist.pref.Preference,PreferencesInitializer uses Preference [72]
rssowl-2___0___5.org.rssowl.ui.internal.dialogs.preferences.FeedsPreferencePage,references,rssowl-2___0___5.org.rssowl.core.internal.persist.pref.DefaultPreferences,FeedsPreferencePage uses DefaultPreferences [70]
rssowl-2___0___5.org.rssowl.ui.internal.ApplicationActionBarAdvisor,references,rssowl-2___0___5.org.rssowl.ui.internal.Messages,ApplicationActionBarAdvisor uses Messages [67]
rssowl-2___0___5.org.rssowl.core.util.CoreUtils,has param,rssowl-2___0___5.org.rssowl.core.persist.INews,CoreUtils uses INews [65]
rssowl-2___0___5.org.rssowl.core.internal.persist.SearchField,references,rssowl-2___0___5.org.rssowl.core.internal.persist.Messages,SearchField uses Messages [59]
rssowl-2___0___5.org.rssowl.ui.internal.CoolBarAdvisor,references,rssowl-2___0___5.org.rssowl.ui.internal.Messages,CoolBarAdvisor uses Messages [58]
rssowl-2___0___5.org.rssowl.ui.internal.views.explorer.BookMarkExplorer,has param,rssowl-2___0___5.org.rssowl.ui.internal.views.explorer.BookMarkGrouping,BookMarkExplorer uses BookMarkGrouping [57]
rssowl-2___0___5.org.rssowl.ui.internal.views.explorer.BookMarkExplorer,has param,rssowl-2___0___5.org.rssowl.ui.internal.views.explorer.BookMarkFilter,BookMarkExplorer uses BookMarkFilter [57]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.FeedView,has param,rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.FeedViewInput,FeedView uses FeedViewInput [57]
rssowl-2___0___5.org.rssowl.ui.internal.ApplicationActionBarAdvisor,references,rssowl-2___0___5.org.rssowl.ui.internal.OwlUI,ApplicationActionBarAdvisor uses OwlUI [54]
rssowl-2___0___5.org.rssowl.core.util.CoreUtils,has param,rssowl-2___0___5.org.rssowl.core.persist.event.NewsEvent,CoreUtils uses NewsEvent [47]
rssowl-2___0___5.org.rssowl.ui.internal.ApplicationActionBarAdvisor,has param,rssowl-2___0___5.org.rssowl.core.persist.pref.IPreferenceScope,ApplicationActionBarAdvisor uses IPreferenceScope [46]
rssowl-2___0___5.org.rssowl.core.internal.persist.pref.GlobalScope,returns,rssowl-2___0___5.org.rssowl.core.persist.IPreference,GlobalScope uses IPreference [43]
rssowl-2___0___5.org.rssowl.ui.internal.dialogs.preferences.MiscPreferencePage,references,rssowl-2___0___5.org.rssowl.core.internal.persist.pref.DefaultPreferences,MiscPreferencePage uses DefaultPreferences [42]
rssowl-2___0___5.org.rssowl.ui.internal.editors.browser.WebBrowserView,returns,rssowl-2___0___5.org.rssowl.ui.internal.util.CBrowser,WebBrowserView uses CBrowser [41]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsGrouping,references,rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.Messages,NewsGrouping uses Messages [41]
rssowl-2___0___5.org.rssowl.ui.internal.dialogs.welcome.TutorialPage,references,rssowl-2___0___5.org.rssowl.ui.internal.dialogs.welcome.Messages,TutorialPage uses Messages [41]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.FilterBar,has param,rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.FeedView,FilterBar uses FeedView [41]
rssowl-2___0___5.org.rssowl.core.internal.persist.search.ModelSearchQueries,has param,rssowl-2___0___5.org.rssowl.core.persist.ISearchCondition,ModelSearchQueries uses ISearchCondition [41]
rssowl-2___0___5.org.rssowl.core.internal.persist.service.DBManager,uses inherited,rssowl-2___0___5.org.rssowl.core.internal.Activator,DBManager uses Activator [40]
rssowl-2___0___5.org.rssowl.core.internal.persist.Feed,implements,rssowl-2___0___5.org.rssowl.core.persist.IFeed,Feed uses IFeed [40]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.FeedView,returns,rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsTableControl,FeedView uses NewsTableControl [39]
rssowl-2___0___5.org.rssowl.ui.internal.dialogs.CustomizeToolbarDialog,returns,rssowl-2___0___5.org.rssowl.ui.internal.CoolBarAdvisor,CustomizeToolbarDialog uses CoolBarAdvisor [39]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsTableLabelProvider,has param,rssowl-2___0___5.org.rssowl.core.persist.INews,NewsTableLabelProvider uses INews [39]
rssowl-2___0___5.org.rssowl.core.internal.persist.dao.NewsDAOImpl,has param,rssowl-2___0___5.org.rssowl.core.persist.INews,NewsDAOImpl uses INews [39]
rssowl-2___0___5.org.rssowl.ui.internal.search.SearchConditionList,returns,rssowl-2___0___5.org.rssowl.ui.internal.search.SearchConditionItem,SearchConditionList uses SearchConditionItem [37]
rssowl-2___0___5.org.rssowl.ui.internal.dialogs.SearchNewsDialog,returns,rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsColumn,SearchNewsDialog uses NewsColumn [37]
rssowl-2___0___5.org.rssowl.ui.internal.dialogs.SearchNewsDialog,returns,rssowl-2___0___5.org.rssowl.core.persist.INews,SearchNewsDialog uses INews [37]
rssowl-2___0___5.org.rssowl.core.Owl,references,rssowl-2___0___5.org.rssowl.core.internal.InternalOwl,Owl uses InternalOwl [36]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.FeedView,implements,rssowl-2___0___5.org.rssowl.ui.internal.Controller,FeedView uses Controller [36]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsBrowserViewer,returns,rssowl-2___0___5.org.rssowl.ui.internal.util.CBrowser,NewsBrowserViewer uses CBrowser [35]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsContentProvider,returns,rssowl-2___0___5.org.rssowl.core.persist.INews,NewsContentProvider uses INews [34]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsColumnViewModel,returns,rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsColumn,NewsColumnViewModel uses NewsColumn [34]
rssowl-2___0___5.org.rssowl.ui.internal.views.explorer.BookMarkExplorer,returns,rssowl-2___0___5.org.rssowl.core.persist.IFolder,BookMarkExplorer uses IFolder [33]
rssowl-2___0___5.org.rssowl.core.internal.persist.service.EntityIdsByEventType,returns,rssowl-2___0___5.org.rssowl.core.internal.persist.LongArrayList,EntityIdsByEventType uses LongArrayList [33]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsTableLabelProvider,references,rssowl-2___0___5.org.rssowl.ui.internal.OwlUI,NewsTableLabelProvider uses OwlUI [33]
rssowl-2___0___5.org.rssowl.ui.internal.CoolBarAdvisor,references,rssowl-2___0___5.org.rssowl.ui.internal.actions.NavigationActionFactory,CoolBarAdvisor uses NavigationActionFactory [33]
rssowl-2___0___5.org.rssowl.ui.internal.dialogs.NewsFiltersListDialog,has param,rssowl-2___0___5.org.rssowl.core.persist.ISearchFilter,NewsFiltersListDialog uses ISearchFilter [33]
rssowl-2___0___5.org.rssowl.ui.internal.Controller,has param,rssowl-2___0___5.org.rssowl.core.persist.IBookMark,Controller uses IBookMark [33]
rssowl-2___0___5.org.rssowl.ui.internal.PreferencesInitializer,has param,rssowl-2___0___5.org.rssowl.core.persist.pref.IPreferenceScope,PreferencesInitializer uses IPreferenceScope [32]
rssowl-2___0___5.org.rssowl.ui.internal.views.explorer.BookMarkExplorer,references,rssowl-2___0___5.org.rssowl.ui.internal.views.explorer.Messages,BookMarkExplorer uses Messages [31]
rssowl-2___0___5.org.rssowl.ui.internal.dialogs.preferences.FeedsPreferencePage,references,rssowl-2___0___5.org.rssowl.ui.internal.dialogs.preferences.Messages,FeedsPreferencePage uses Messages [31]
rssowl-2___0___5.org.rssowl.ui.internal.dialogs.importer.ImportElementsPage,references,rssowl-2___0___5.org.rssowl.ui.internal.dialogs.importer.Messages,ImportElementsPage uses Messages [31]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsTableControl,has param,rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.NewsColumn,NewsTableControl uses NewsColumn [31]
rssowl-2___0___5.org.rssowl.ui.internal.editors.feed.FeedView,has param,rssowl-2___0___5.org.rssowl.core.persist.INewsMark,FeedView uses INewsMark [31]
rssowl-2___0___5.org.rssowl.ui.internal.filter.NewsActionList,returns,rssowl-2___0___5.org.rssowl.ui.internal.filter.NewsActionItem,NewsActionList uses NewsActionItem [30]
