Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,EAID_11111111_5487_4080_A7F4_41526CB0AA00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.internal.DefaultBookingService,EAID_9D3D1DDE_F7C9_489f_AA1D_96A3C2BFAF76,0.46666667,0.5333333,0.56666666,4,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,EAID_2F8A0200_A29B_49b4_8F8F_2F3DD8F39158,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,EAID_B7F8F7E1_8E45_4978_A42C_BC07DB680AD1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.util.ApplicationSettings,EAID_9CF802A2_A419_4561_B2FA_CB31AB72349C,0.75,0.25,0.5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.util.DateConverter,EAID_A17FB413_A3D2_4b58_AB38_393B3C27AC6B,0.53333336,0.46666664,0.46666664,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.util.RestConfiguration,EAID_10BBF4A0_2FBB_4044_96AB_D6E1CD430E4D,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.application.util.SampleDataGenerator,EAID_649AED16_B514_486d_8E68_B70095DE11A0,0.5,0.5,0.6,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.Cargo,EAID_DC4EC423_04B0_4480_925B_18A0117FBE58,0.11282051,0.8871795,0.7934066,7,15,14,1,6,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,5,22,11,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.Delivery,EAID_B3E9A6CA_EAC0_4762_A294_5FFF8BC86C5F,0.109375,0.890625,0.812356,13,32,20,7,10,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,5,1,23,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.HandlingActivity,EAID_442BE9A6_9AA1_4ecc_8A97_D0CE165A8127,0.2,0.8,0.6611111,4,10,9,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,5,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.Itinerary,EAID_B5C538BC_5D09_436e_BEA4_57F2E0D51768,0.11363637,0.8863636,0.7865014,3,12,7,0,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,15,4,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.Leg,EAID_2D197656_D7C3_4484_BCEE_4C4EFB034C68,0.15151516,0.8484849,0.7292929,7,11,10,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,3,7,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,EAID_2A42ED3E_AD63_4927_A0E7_6DAEEF48C2F7,0.18055555,0.8194444,0.6875,4,9,8,0,5,0,0,0,0,1,1,0,4,0,0,0,1,1,1,1,2,11,5,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.cargo.TrackingId,EAID_814191AB_2C17_4f0f_B248_B7A0A80AE24A,0.21428572,0.78571427,0.6349206,2,7,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,27,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.handling.CannotCreateHandlingEventException,EAID_7E8854E1_EF81_42df_9310_7DEE0FA6A242,0.5,0.5,0,1,2,2,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.handling.HandlingEvent,EAID_0F5CE2B4_570A_478e_8F43_9F67145AAEEF,0.15,0.85,0.7351648,9,14,13,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,3,14,8,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,EAID_B47E434B_D00A_4bb5_A0AD_501CF3CF7802,0.33333334,0.6666666,0.44444442,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,10,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.handling.HandlingHistory,EAID_076329D7_3E98_49f0_86C6_C152217D8A9C,0.17857143,0.82142854,0.6666666,3,7,6,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.handling.UnknownCargoException,EAID_43AB1F51_2C18_41c5_BCB7_B4A21A2F7DC3,0.5,0.5,0,2,2,2,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.org.eclipse.cargotracker.domain.model.handling.UnknownLocationException,EAID_71976C79_EB30_48cf_A438_BEB26989A4BF,0.5,0.5,0,2,2,2,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
