proguard-4___9.proguard.classfile.io.ProgramClassWriter,references,proguard-4___9.proguard.classfile.io.RuntimeDataOutput,ProgramClassWriter uses RuntimeDataOutput [119]
proguard-4___9.proguard.classfile.util.SimplifiedVisitor,has param,proguard-4___9.proguard.classfile.Clazz,SimplifiedVisitor uses Clazz [116]
proguard-4___9.proguard.classfile.visitor.ClassPrinter,has param,proguard-4___9.proguard.classfile.Clazz,ClassPrinter uses Clazz [106]
proguard-4___9.proguard.gui.ProGuardGUI,returns,proguard-4___9.proguard.Configuration,ProGuardGUI uses Configuration [102]
proguard-4___9.proguard.gradle.ProGuardTask,references,proguard-4___9.proguard.Configuration,ProGuardTask uses Configuration [73]
proguard-4___9.proguard.evaluation.value.SpecificIntegerValue,extends,proguard-4___9.proguard.evaluation.value.IntegerValue,SpecificIntegerValue uses IntegerValue [69]
proguard-4___9.proguard.classfile.io.ProgramClassReader,references,proguard-4___9.proguard.classfile.io.RuntimeDataInput,ProgramClassReader uses RuntimeDataInput [65]
proguard-4___9.proguard.shrink.UsageMarker,has param,proguard-4___9.proguard.classfile.Clazz,UsageMarker uses Clazz [65]
proguard-4___9.proguard.evaluation.value.ParticularIntegerValue,returns,proguard-4___9.proguard.evaluation.value.IntegerValue,ParticularIntegerValue uses IntegerValue [64]
proguard-4___9.proguard.gradle.ProGuardTask,throws,proguard-4___9.proguard.ParseException,ProGuardTask uses ParseException [63]
proguard-4___9.proguard.classfile.util.SimplifiedVisitor,has param,proguard-4___9.proguard.classfile.Method,SimplifiedVisitor uses Method [60]
proguard-4___9.proguard.classfile.visitor.ClassPrinter,has param,proguard-4___9.proguard.classfile.VisitorAccepter,ClassPrinter uses VisitorAccepter [58]
proguard-4___9.proguard.classfile.io.ProgramClassWriter,has param,proguard-4___9.proguard.classfile.Clazz,ProgramClassWriter uses Clazz [57]
proguard-4___9.proguard.classfile.io.ProgramClassReader,has param,proguard-4___9.proguard.classfile.Clazz,ProgramClassReader uses Clazz [57]
proguard-4___9.proguard.shrink.ShortestUsageMarker,extends,proguard-4___9.proguard.shrink.UsageMarker,ShortestUsageMarker uses UsageMarker [56]
proguard-4___9.proguard.classfile.editor.ConstantPoolRemapper,has param,proguard-4___9.proguard.classfile.Clazz,ConstantPoolRemapper uses Clazz [53]
proguard-4___9.proguard.classfile.util.ClassReferenceInitializer,returns,proguard-4___9.proguard.classfile.Clazz,ClassReferenceInitializer uses Clazz [52]
proguard-4___9.proguard.shrink.ShortestUsageMarker,has param,proguard-4___9.proguard.classfile.Clazz,ShortestUsageMarker uses Clazz [52]
proguard-4___9.proguard.shrink.UsageMarker,has param,proguard-4___9.proguard.classfile.VisitorAccepter,UsageMarker uses VisitorAccepter [50]
proguard-4___9.proguard.ProGuard,has param,proguard-4___9.proguard.Configuration,ProGuard uses Configuration [50]
proguard-4___9.proguard.classfile.editor.ConstantPoolShrinker,has param,proguard-4___9.proguard.classfile.Clazz,ConstantPoolShrinker uses Clazz [49]
