jedit-4___3___2.LatestVersionPlugin,references,jedit-4___3___2.org.gjt.sp.jedit.Buffer,LatestVersionPlugin uses Buffer [1]
jedit-4___3___2.LatestVersionPlugin,extends,jedit-4___3___2.org.gjt.sp.jedit.EditPlugin,LatestVersionPlugin uses EditPlugin [2]
jedit-4___3___2.LatestVersionPlugin,calls,jedit-4___3___2.org.gjt.sp.jedit.GUIUtilities,LatestVersionPlugin uses GUIUtilities [2]
jedit-4___3___2.LatestVersionPlugin,calls,jedit-4___3___2.org.gjt.sp.jedit.MiscUtilities,LatestVersionPlugin uses MiscUtilities [1]
jedit-4___3___2.LatestVersionPlugin,has param,jedit-4___3___2.org.gjt.sp.jedit.View,LatestVersionPlugin uses View [4]
jedit-4___3___2.LatestVersionPlugin,calls,jedit-4___3___2.org.gjt.sp.jedit.jEdit,LatestVersionPlugin uses jEdit [4]
jedit-4___3___2.QuickNotepad,implements,jedit-4___3___2.QuickNotepadActions,QuickNotepad uses QuickNotepadActions [1]
jedit-4___3___2.QuickNotepad,calls,jedit-4___3___2.QuickNotepadOptionPane,QuickNotepad uses QuickNotepadOptionPane [2]
jedit-4___3___2.QuickNotepad,uses inherited,jedit-4___3___2.QuickNotepadTextArea,QuickNotepad uses QuickNotepadTextArea [5]
jedit-4___3___2.QuickNotepad,references,jedit-4___3___2.QuickNotepadToolPanel,QuickNotepad uses QuickNotepadToolPanel [5]
jedit-4___3___2.QuickNotepad,references,jedit-4___3___2.org.gjt.sp.jedit.Buffer,QuickNotepad uses Buffer [1]
jedit-4___3___2.QuickNotepad,implements,jedit-4___3___2.org.gjt.sp.jedit.EBComponent,QuickNotepad uses EBComponent [3]
jedit-4___3___2.QuickNotepad,has param,jedit-4___3___2.org.gjt.sp.jedit.EBMessage,QuickNotepad uses EBMessage [1]
jedit-4___3___2.QuickNotepad,calls,jedit-4___3___2.org.gjt.sp.jedit.EditBus,QuickNotepad uses EditBus [2]
jedit-4___3___2.QuickNotepad,references,jedit-4___3___2.org.gjt.sp.jedit.EditPane,QuickNotepad uses EditPane [2]
jedit-4___3___2.QuickNotepad,calls,jedit-4___3___2.org.gjt.sp.jedit.GUIUtilities,QuickNotepad uses GUIUtilities [1]
jedit-4___3___2.QuickNotepad,has param,jedit-4___3___2.org.gjt.sp.jedit.View,QuickNotepad uses View [5]
jedit-4___3___2.QuickNotepad,implements,jedit-4___3___2.org.gjt.sp.jedit.gui.DefaultFocusComponent,QuickNotepad uses DefaultFocusComponent [1]
jedit-4___3___2.QuickNotepad,calls,jedit-4___3___2.org.gjt.sp.jedit.jEdit,QuickNotepad uses jEdit [5]
jedit-4___3___2.QuickNotepad,references,jedit-4___3___2.org.gjt.sp.jedit.msg.PropertiesChanged,QuickNotepad uses PropertiesChanged [1]
jedit-4___3___2.QuickNotepad,references,jedit-4___3___2.org.gjt.sp.jedit.textarea.JEditTextArea,QuickNotepad uses JEditTextArea [1]
jedit-4___3___2.QuickNotepad,calls,jedit-4___3___2.org.gjt.sp.jedit.textarea.TextArea,QuickNotepad uses TextArea [1]
jedit-4___3___2.QuickNotepad,calls,jedit-4___3___2.org.gjt.sp.util.Log,QuickNotepad uses Log [2]
jedit-4___3___2.QuickNotepad,calls,jedit-4___3___2.org.gjt.sp.util.StandardUtilities,QuickNotepad uses StandardUtilities [1]
jedit-4___3___2.QuickNotepadOptionPane,extends,jedit-4___3___2.org.gjt.sp.jedit.AbstractOptionPane,QuickNotepadOptionPane uses AbstractOptionPane [4]
jedit-4___3___2.QuickNotepadOptionPane,calls,jedit-4___3___2.org.gjt.sp.jedit.GUIUtilities,QuickNotepadOptionPane uses GUIUtilities [1]
jedit-4___3___2.QuickNotepadOptionPane,references,jedit-4___3___2.org.gjt.sp.jedit.View,QuickNotepadOptionPane uses View [1]
jedit-4___3___2.QuickNotepadOptionPane,uses inherited,jedit-4___3___2.org.gjt.sp.jedit.gui.FontSelector,QuickNotepadOptionPane uses FontSelector [4]
