heritrix-1___14___4.org.archive.net.UURIFactoryTest,returns,heritrix-1___14___4.org.archive.net.UURI,UURIFactoryTest uses UURI [89]
heritrix-1___14___4.org.archive.crawler.frontier.WorkQueueFrontier,returns,heritrix-1___14___4.org.archive.crawler.frontier.WorkQueue,WorkQueueFrontier uses WorkQueue [70]
heritrix-1___14___4.org.archive.crawler.admin.CrawlJobHandler,returns,heritrix-1___14___4.org.archive.crawler.admin.CrawlJob,CrawlJobHandler uses CrawlJob [70]
heritrix-1___14___4.org.archive.net.UURIFactoryTest,calls,heritrix-1___14___4.org.archive.net.UURIFactory,UURIFactoryTest uses UURIFactory [69]
heritrix-1___14___4.org.archive.crawler.frontier.AdaptiveRevisitFrontier,has param,heritrix-1___14___4.org.archive.crawler.datamodel.CandidateURI,AdaptiveRevisitFrontier uses CandidateURI [68]
heritrix-1___14___4.org.apache.commons.httpclient.HttpMethodBase,has param,heritrix-1___14___4.org.apache.commons.httpclient.HttpConnection,HttpMethodBase uses HttpConnection [59]
heritrix-1___14___4.org.archive.crawler.deciderules.DecideRuleSequenceTest,returns,heritrix-1___14___4.org.archive.crawler.deciderules.DecideRule,DecideRuleSequenceTest uses DecideRule [58]
heritrix-1___14___4.org.archive.crawler.fetcher.FetchHTTP,has param,heritrix-1___14___4.org.archive.crawler.datamodel.CrawlURI,FetchHTTP uses CrawlURI [55]
heritrix-1___14___4.org.archive.crawler.admin.CrawlJob,extends,heritrix-1___14___4.org.archive.crawler.framework.CrawlController,CrawlJob uses CrawlController [54]
heritrix-1___14___4.org.archive.crawler.frontier.WorkQueueFrontier,extends,heritrix-1___14___4.org.archive.crawler.frontier.AbstractFrontier,WorkQueueFrontier uses AbstractFrontier [52]
heritrix-1___14___4.org.archive.crawler.frontier.AdaptiveRevisitFrontier,returns,heritrix-1___14___4.org.archive.crawler.datamodel.CrawlURI,AdaptiveRevisitFrontier uses CrawlURI [51]
heritrix-1___14___4.org.archive.crawler.datamodel.CrawlURI,extends,heritrix-1___14___4.org.archive.crawler.datamodel.CandidateURI,CrawlURI uses CandidateURI [49]
heritrix-1___14___4.org.archive.crawler.admin.StatisticsTracker,extends,heritrix-1___14___4.org.archive.crawler.framework.AbstractTracker,StatisticsTracker uses AbstractTracker [45]
heritrix-1___14___4.org.archive.crawler.settings.ComplexType,returns,heritrix-1___14___4.org.archive.crawler.settings.CrawlerSettings,ComplexType uses CrawlerSettings [42]
heritrix-1___14___4.org.archive.crawler.Heritrix,returns,heritrix-1___14___4.org.archive.crawler.admin.CrawlJobHandler,Heritrix uses CrawlJobHandler [41]
heritrix-1___14___4.org.archive.crawler.extractor.ExtractorHTMLTest,returns,heritrix-1___14___4.org.archive.crawler.datamodel.CrawlURI,ExtractorHTMLTest uses CrawlURI [40]
heritrix-1___14___4.org.archive.util.PaddingStringBufferTest,references,heritrix-1___14___4.org.archive.util.PaddingStringBuffer,PaddingStringBufferTest uses PaddingStringBuffer [40]
heritrix-1___14___4.org.archive.crawler.writer.WARCWriterProcessor,has param,heritrix-1___14___4.org.archive.crawler.datamodel.CrawlURI,WARCWriterProcessor uses CrawlURI [40]
heritrix-1___14___4.org.archive.io.arc.ARCReader,extends,heritrix-1___14___4.org.archive.io.ArchiveReader,ARCReader uses ArchiveReader [40]
heritrix-1___14___4.org.archive.crawler.frontier.AbstractFrontier,has param,heritrix-1___14___4.org.archive.crawler.datamodel.CandidateURI,AbstractFrontier uses CandidateURI [39]
heritrix-1___14___4.org.archive.io.arc.ARCReaderFactory,extends,heritrix-1___14___4.org.archive.io.ArchiveReader,ARCReaderFactory uses ArchiveReader [39]
heritrix-1___14___4.st.ata.util.HashtableAList,returns,heritrix-1___14___4.st.ata.util.AList,HashtableAList uses AList [35]
heritrix-1___14___4.org.archive.crawler.settings.ComplexType,returns,heritrix-1___14___4.org.archive.crawler.settings.DataContainer,ComplexType uses DataContainer [32]
heritrix-1___14___4.org.archive.crawler.writer.WARCWriterProcessor,has param,heritrix-1___14___4.org.archive.util.anvl.ANVLRecord,WARCWriterProcessor uses ANVLRecord [30]
heritrix-1___14___4.org.archive.crawler.frontier.AbstractFrontier,returns,heritrix-1___14___4.org.archive.crawler.datamodel.CrawlURI,AbstractFrontier uses CrawlURI [28]
heritrix-1___14___4.org.archive.crawler.datamodel.CandidateURI,returns,heritrix-1___14___4.st.ata.util.AList,CandidateURI uses AList [28]
heritrix-1___14___4.org.apache.commons.httpclient.cookie.CookieSpecBase,returns,heritrix-1___14___4.org.apache.commons.httpclient.Cookie,CookieSpecBase uses Cookie [28]
