jgroups-2___10___0.org.jgroups.blocks.ConnectionTableNIO,extends,jgroups-2___10___0.org.jgroups.blocks.BasicConnectionTable,ConnectionTableNIO uses BasicConnectionTable [109]
jgroups-2___10___0.org.jgroups.blocks.ConnectionTable,extends,jgroups-2___10___0.org.jgroups.blocks.BasicConnectionTable,ConnectionTable uses BasicConnectionTable [85]
jgroups-2___10___0.org.jgroups.stack.ProtocolStack,extends,jgroups-2___10___0.org.jgroups.stack.Protocol,ProtocolStack uses Protocol [81]
jgroups-2___10___0.org.jgroups.protocols.ENCRYPTAsymmetricTest,implements,jgroups-2___10___0.org.jgroups.protocols.ENCRYPT,ENCRYPTAsymmetricTest uses ENCRYPT [80]
jgroups-2___10___0.org.jgroups.protocols.GMS_MergeTest,extends,jgroups-2___10___0.org.jgroups.JChannel,GMS_MergeTest uses JChannel [76]
jgroups-2___10___0.org.jgroups.protocols.ENCRYPT14KeystoreTest,implements,jgroups-2___10___0.org.jgroups.protocols.ENCRYPT,ENCRYPT14KeystoreTest uses ENCRYPT [70]
jgroups-2___10___0.org.jgroups.protocols.pbcast.Merger,has param,jgroups-2___10___0.org.jgroups.protocols.pbcast.GMS,Merger uses GMS [69]
jgroups-2___10___0.org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER,extends,jgroups-2___10___0.org.jgroups.stack.Protocol,STREAMING_STATE_TRANSFER uses Protocol [64]
jgroups-2___10___0.org.jgroups.protocols.TP,returns,jgroups-2___10___0.org.jgroups.Message,TP uses Message [63]
jgroups-2___10___0.org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER,references,jgroups-2___10___0.org.jgroups.logging.Log,STREAMING_STATE_TRANSFER uses Log [60]
jgroups-2___10___0.org.jgroups.protocols.pbcast.GMS,extends,jgroups-2___10___0.org.jgroups.stack.Protocol,GMS uses Protocol [58]
jgroups-2___10___0.org.jgroups.protocols.TP,references,jgroups-2___10___0.org.jgroups.logging.Log,TP uses Log [54]
jgroups-2___10___0.org.jgroups.protocols.pbcast.FLUSH,extends,jgroups-2___10___0.org.jgroups.stack.Protocol,FLUSH uses Protocol [54]
jgroups-2___10___0.org.jgroups.mux.MuxChannel,returns,jgroups-2___10___0.org.jgroups.mux.Multiplexer,MuxChannel uses Multiplexer [53]
jgroups-2___10___0.org.jgroups.protocols.pbcast.NAKACK,implements,jgroups-2___10___0.org.jgroups.stack.NakReceiverWindow,NAKACK uses NakReceiverWindow [53]
jgroups-2___10___0.org.jgroups.util.MutableDigest,extends,jgroups-2___10___0.org.jgroups.util.Digest,MutableDigest uses Digest [52]
jgroups-2___10___0.org.jgroups.blocks.ReplCache,implements,jgroups-2___10___0.org.jgroups.blocks.Cache,ReplCache uses Cache [50]
jgroups-2___10___0.org.jgroups.mux.MuxChannel,extends,jgroups-2___10___0.org.jgroups.JChannel,MuxChannel uses JChannel [50]
