jhotdraw-7___5___1.org.jhotdraw.geom.BezierPathTest,references,jhotdraw-7___5___1.org.jhotdraw.geom.BezierPath,BezierPathTest uses BezierPath [130]
jhotdraw-7___5___1.org.jhotdraw.draw.action.ButtonFactory,has param,jhotdraw-7___5___1.org.jhotdraw.util.ResourceBundleUtil,ButtonFactory uses ResourceBundleUtil [115]
jhotdraw-7___5___1.org.jhotdraw.draw.handle.HandleAttributeKeys,references,jhotdraw-7___5___1.org.jhotdraw.draw.AttributeKey,HandleAttributeKeys uses AttributeKey [106]
jhotdraw-7___5___1.org.jhotdraw.draw.action.ButtonFactory,returns,jhotdraw-7___5___1.org.jhotdraw.gui.JPopupButton,ButtonFactory uses JPopupButton [90]
jhotdraw-7___5___1.org.jhotdraw.draw.BezierFigure,returns,jhotdraw-7___5___1.org.jhotdraw.geom.BezierPath,BezierFigure uses BezierPath [86]
jhotdraw-7___5___1.org.jhotdraw.draw.action.ButtonFactory,has param,jhotdraw-7___5___1.org.jhotdraw.draw.DrawingEditor,ButtonFactory uses DrawingEditor [85]
jhotdraw-7___5___1.org.jhotdraw.draw.AbstractCompositeFigure,returns,jhotdraw-7___5___1.org.jhotdraw.draw.Figure,AbstractCompositeFigure uses Figure [83]
jhotdraw-7___5___1.org.jhotdraw.draw.handle.ResizeHandleKit,has param,jhotdraw-7___5___1.org.jhotdraw.draw.Figure,ResizeHandleKit uses Figure [67]
jhotdraw-7___5___1.org.jhotdraw.draw.AttributeKeys,references,jhotdraw-7___5___1.org.jhotdraw.draw.AttributeKey,AttributeKeys uses AttributeKey [54]
jhotdraw-7___5___1.org.jhotdraw.draw.LabeledLineConnectionFigure,returns,jhotdraw-7___5___1.org.jhotdraw.draw.Figure,LabeledLineConnectionFigure uses Figure [53]
jhotdraw-7___5___1.org.jhotdraw.draw.handle.TransformHandleKit,has param,jhotdraw-7___5___1.org.jhotdraw.draw.Figure,TransformHandleKit uses Figure [50]
jhotdraw-7___5___1.org.jhotdraw.app.AbstractApplication,returns,jhotdraw-7___5___1.org.jhotdraw.app.View,AbstractApplication uses View [46]
jhotdraw-7___5___1.org.jhotdraw.app.action.app.ExitAction,has param,jhotdraw-7___5___1.org.jhotdraw.app.View,ExitAction uses View [46]
jhotdraw-7___5___1.net.n3.nanoxml.XMLElement,returns,jhotdraw-7___5___1.net.n3.nanoxml.XMLAttribute,XMLElement uses XMLAttribute [44]
jhotdraw-7___5___1.org.jhotdraw.app.MDIApplication,extends,jhotdraw-7___5___1.org.jhotdraw.app.AbstractApplication,MDIApplication uses AbstractApplication [44]
jhotdraw-7___5___1.org.jhotdraw.draw.handle.BezierNodeHandle,returns,jhotdraw-7___5___1.org.jhotdraw.draw.BezierFigure,BezierNodeHandle uses BezierFigure [42]
jhotdraw-7___5___1.org.jhotdraw.draw.DefaultDrawingView,returns,jhotdraw-7___5___1.org.jhotdraw.draw.handle.Handle,DefaultDrawingView uses Handle [42]
jhotdraw-7___5___1.net.n3.nanoxml.XMLElement,implements,jhotdraw-7___5___1.net.n3.nanoxml.IXMLElement,XMLElement uses IXMLElement [42]
