jung-2___0___1.edu.uci.ics.jung.graph.util.Graphs,implements,jung-2___0___1.edu.uci.ics.jung.graph.Graph,Graphs uses Graph [62]
jung-2___0___1.edu.uci.ics.jung.graph.util.Graphs,calls,jung-2___0___1.edu.uci.ics.jung.graph.Hypergraph,Graphs uses Hypergraph [46]
jung-2___0___1.edu.uci.ics.jung.visualization.control.EditingModalGraphMouse,extends,jung-2___0___1.edu.uci.ics.jung.visualization.control.AbstractModalGraphMouse,EditingModalGraphMouse uses AbstractModalGraphMouse [39]
jung-2___0___1.edu.uci.ics.jung.visualization.annotations.AnnotatingModalGraphMouse,extends,jung-2___0___1.edu.uci.ics.jung.visualization.control.AbstractModalGraphMouse,AnnotatingModalGraphMouse uses AbstractModalGraphMouse [39]
jung-2___0___1.edu.uci.ics.jung.graph.OrderedKAryTree,returns,jung-2___0___1.edu.uci.ics.jung.graph.util.Pair,OrderedKAryTree uses Pair [37]
jung-2___0___1.edu.uci.ics.jung.visualization.renderers.BasicVertexLabelRenderer,implements,jung-2___0___1.edu.uci.ics.jung.visualization.renderers.Renderer,BasicVertexLabelRenderer uses Renderer [37]
jung-2___0___1.edu.uci.ics.jung.visualization.control.EditingModalGraphMouse,implements,jung-2___0___1.edu.uci.ics.jung.visualization.control.ModalGraphMouse,EditingModalGraphMouse uses ModalGraphMouse [36]
jung-2___0___1.edu.uci.ics.jung.graph.util.Graphs,implements,jung-2___0___1.edu.uci.ics.jung.graph.Forest,Graphs uses Forest [35]
jung-2___0___1.edu.uci.ics.jung.visualization.decorators.EdgeShape,has param,jung-2___0___1.edu.uci.ics.jung.graph.util.Context,EdgeShape uses Context [34]
jung-2___0___1.edu.uci.ics.jung.algorithms.layout.AggregateLayout,implements,jung-2___0___1.edu.uci.ics.jung.algorithms.layout.Layout,AggregateLayout uses Layout [33]
jung-2___0___1.edu.uci.ics.jung.graph.ObservableGraph,has param,jung-2___0___1.edu.uci.ics.jung.graph.event.GraphEvent,ObservableGraph uses GraphEvent [31]
jung-2___0___1.edu.uci.ics.jung.algorithms.shortestpath.DijkstraShortestPath,extends,jung-2___0___1.edu.uci.ics.jung.algorithms.shortestpath.DijkstraDistance,DijkstraShortestPath uses DijkstraDistance [30]
jung-2___0___1.edu.uci.ics.jung.graph.DirectedSparseGraph,returns,jung-2___0___1.edu.uci.ics.jung.graph.util.Pair,DirectedSparseGraph uses Pair [29]
jung-2___0___1.edu.uci.ics.jung.visualization.annotations.AnnotatingModalGraphMouse,implements,jung-2___0___1.edu.uci.ics.jung.visualization.control.ModalGraphMouse,AnnotatingModalGraphMouse uses ModalGraphMouse [29]
jung-2___0___1.edu.uci.ics.jung.visualization.transform.MutableTransformerDecorator,implements,jung-2___0___1.edu.uci.ics.jung.visualization.transform.MutableTransformer,MutableTransformerDecorator uses MutableTransformer [28]
jung-2___0___1.edu.uci.ics.jung.visualization.decorators.EdgeShape,returns,jung-2___0___1.edu.uci.ics.jung.graph.util.EdgeIndexFunction,EdgeShape uses EdgeIndexFunction [25]
jung-2___0___1.edu.uci.ics.jung.graph.GraphDecorator,calls,jung-2___0___1.edu.uci.ics.jung.graph.Hypergraph,GraphDecorator uses Hypergraph [25]
jung-2___0___1.edu.uci.ics.jung.graph.AbstractGraph,returns,jung-2___0___1.edu.uci.ics.jung.graph.util.Pair,AbstractGraph uses Pair [24]
jung-2___0___1.edu.uci.ics.jung.algorithms.transformation.FoldingTransformer,has param,jung-2___0___1.edu.uci.ics.jung.graph.Hypergraph,FoldingTransformer uses Hypergraph [24]
jung-2___0___1.edu.uci.ics.jung.graph.SparseMultigraph,returns,jung-2___0___1.edu.uci.ics.jung.graph.util.Pair,SparseMultigraph uses Pair [23]
jung-2___0___1.edu.uci.ics.jung.graph.DirectedSparseMultigraph,returns,jung-2___0___1.edu.uci.ics.jung.graph.util.Pair,DirectedSparseMultigraph uses Pair [23]
