pmd-4___2___5.net.sourceforge.pmd.ast.JavaParser,references,pmd-4___2___5.net.sourceforge.pmd.ast.JJTJavaParserState,JavaParser uses JJTJavaParserState [430]
pmd-4___2___5.net.sourceforge.pmd.ast.JavaParser,returns,pmd-4___2___5.net.sourceforge.pmd.ast.Token,JavaParser uses Token [392]
pmd-4___2___5.net.sourceforge.pmd.ast.JavaParser,returns,pmd-4___2___5.net.sourceforge.pmd.ast.ParseException,JavaParser uses ParseException [174]
pmd-4___2___5.net.sourceforge.pmd.ast.JavaParserVisitorAdapter,has param,pmd-4___2___5.net.sourceforge.pmd.ast.SimpleJavaNode,JavaParserVisitorAdapter uses SimpleJavaNode [110]
pmd-4___2___5.net.sourceforge.pmd.AbstractJavaRule,has param,pmd-4___2___5.net.sourceforge.pmd.ast.SimpleJavaNode,AbstractJavaRule uses SimpleJavaNode [110]
pmd-4___2___5.net.sourceforge.pmd.ast.JavaParser,references,pmd-4___2___5.net.sourceforge.pmd.ast.Node,JavaParser uses Node [108]
pmd-4___2___5.net.sourceforge.pmd.jsp.ast.JspParser,returns,pmd-4___2___5.net.sourceforge.pmd.jsp.ast.Token,JspParser uses Token [92]
pmd-4___2___5.net.sourceforge.pmd.jsp.ast.JspParser,references,pmd-4___2___5.net.sourceforge.pmd.jsp.ast.JJTJspParserState,JspParser uses JJTJspParserState [73]
pmd-4___2___5.net.sourceforge.pmd.jsp.ast.JspParserTokenManager,has param,pmd-4___2___5.net.sourceforge.pmd.jsp.ast.CharStream,JspParserTokenManager uses CharStream [63]
pmd-4___2___5.net.sourceforge.pmd.dfa.StatementAndBraceFinder,has param,pmd-4___2___5.net.sourceforge.pmd.dfa.Structure,StatementAndBraceFinder uses Structure [55]
pmd-4___2___5.net.sourceforge.pmd.typeresolution.ClassTypeResolver,has param,pmd-4___2___5.net.sourceforge.pmd.ast.TypeNode,ClassTypeResolver uses TypeNode [49]
pmd-4___2___5.net.sourceforge.pmd.AbstractDelegateRule,implements,pmd-4___2___5.net.sourceforge.pmd.Rule,AbstractDelegateRule uses Rule [45]
