,class_name,cluster,type,algo,project_id,xmi_id
1,dto.AddressInfo,0,combo,ga_kmeans,12,EAID_29C7292E_68C2_4972_AB71_26F75FBC342F
2,dto.BookingInfo,1,combo,ga_kmeans,12,EAID_4FD9346F_72E3_48ee_BD9B_689E3076AABE
3,dto.BookingPKInfo,2,combo,ga_kmeans,12,EAID_96B6977A_5E3D_4a38_BD66_ADF1FA8A9F04
4,dto.BookingReceiptInfo,3,combo,ga_kmeans,12,EAID_BB4CCCFA_1249_4b36_BF10_B096D29C2762
5,dto.CustomerInfo,4,combo,ga_kmeans,12,EAID_B5AF1F25_B5A9_4687_95D8_2B14934DDB5D
6,dto.FlightInfo,5,combo,ga_kmeans,12,EAID_661A09F7_AE8C_4b11_9BD0_EFAAFBA0B6BF
7,dto.FlightPKInfo,6,combo,ga_kmeans,12,EAID_FF60A806_E2FE_4a04_823A_CE147E8DD057
8,dto.FlightSegmentInfo,7,combo,ga_kmeans,12,EAID_80BCFE92_DF38_4cde_8BF3_BF162825048A
9,dto.TripFlightOptions,8,combo,ga_kmeans,12,EAID_635694BC_720C_40f4_AB24_913A351BDD78
10,dto.TripLegInfo,9,combo,ga_kmeans,12,EAID_0D2E3DC5_A9EE_4e73_8CB7_E31FC0B10338
