,class_name,cluster,type,algo,project_id,xmi_id
1,cargotracker.domain.model.cargo.Cargo,4,combo,ga_kmeans,10,EAID_DC4EC423_04B0_4480_925B_18A0117FBE58
2,cargotracker.domain.model.cargo.Delivery,1,combo,ga_kmeans,10,EAID_B3E9A6CA_EAC0_4762_A294_5FFF8BC86C5F
3,cargotracker.domain.model.cargo.HandlingActivity,0,combo,ga_kmeans,10,EAID_442BE9A6_9AA1_4ecc_8A97_D0CE165A8127
4,cargotracker.domain.model.cargo.Itinerary,4,combo,ga_kmeans,10,EAID_B5C538BC_5D09_436e_BEA4_57F2E0D51768
5,cargotracker.domain.model.cargo.Leg,0,combo,ga_kmeans,10,EAID_2D197656_D7C3_4484_BCEE_4C4EFB034C68
6,cargotracker.domain.model.cargo.RouteSpecification,3,combo,ga_kmeans,10,EAID_2A42ED3E_AD63_4927_A0E7_6DAEEF48C2F7
7,cargotracker.domain.model.cargo.TrackingId,0,combo,ga_kmeans,10,EAID_814191AB_2C17_4f0f_B248_B7A0A80AE24A
8,cargotracker.domain.model.handling.CannotCreateHandlingEventException,6,combo,ga_kmeans,10,EAID_7E8854E1_EF81_42df_9310_7DEE0FA6A242
9,cargotracker.domain.model.handling.HandlingEvent,7,combo,ga_kmeans,10,EAID_0F5CE2B4_570A_478e_8F43_9F67145AAEEF
10,cargotracker.domain.model.handling.HandlingEventFactory,0,combo,ga_kmeans,10,EAID_B47E434B_D00A_4bb5_A0AD_501CF3CF7802
11,cargotracker.domain.model.handling.HandlingHistory,0,combo,ga_kmeans,10,EAID_076329D7_3E98_49f0_86C6_C152217D8A9C
12,cargotracker.domain.model.handling.UnknownCargoException,6,combo,ga_kmeans,10,EAID_43AB1F51_2C18_41c5_BCB7_B4A21A2F7DC3
13,cargotracker.domain.model.handling.UnknownLocationException,6,combo,ga_kmeans,10,EAID_71976C79_EB30_48cf_A438_BEB26989A4BF
14,cargotracker.domain.model.handling.UnknownVoyageException,6,combo,ga_kmeans,10,EAID_1F03F51A_4FDE_42ff_97C3_84F241F49CE0
15,cargotracker.domain.model.location.Location,0,combo,ga_kmeans,10,EAID_C5CC2A9E_3E74_407b_8B82_6B7EB208FC58
16,cargotracker.domain.model.location.SampleLocations,5,combo,ga_kmeans,10,EAID_9DB80CE1_33BB_4d31_8D1D_BDE05A3C6C02
17,cargotracker.domain.model.location.UnLocode,0,combo,ga_kmeans,10,EAID_7C83CD6B_6AC3_4eb4_887E_3DA1E6F6DC99
18,cargotracker.domain.model.voyage.Builder,0,combo,ga_kmeans,10,EAID_EF4A7027_CCAB_4120_A26E_A123486D32C8
19,cargotracker.domain.model.voyage.CarrierMovement,0,combo,ga_kmeans,10,EAID_37F6BA61_ACF2_4cb0_B860_ADB0483000A6
20,cargotracker.domain.model.voyage.SampleVoyages,2,combo,ga_kmeans,10,EAID_AD4EBF76_FAB4_4a16_9519_488693F32B77
21,cargotracker.domain.model.voyage.Schedule,0,combo,ga_kmeans,10,EAID_AA06277A_6957_44c7_9304_42DF64A0EF2D
22,cargotracker.domain.model.voyage.Voyage,7,combo,ga_kmeans,10,EAID_A7C93021_3CA7_455b_913A_1913E36E6E43
23,cargotracker.domain.model.voyage.VoyageNumber,0,combo,ga_kmeans,10,EAID_189C9E05_3CAA_45a2_9213_D1E0C9E2547B
24,cargotracker.domain.shared.AndSpecification,6,combo,ga_kmeans,10,EAID_C71680E0_1D9E_49a4_A543_C2892A325412
25,cargotracker.domain.shared.DomainObjectUtils,6,combo,ga_kmeans,10,EAID_A6B943A6_A041_4887_A762_113350FC4615
26,cargotracker.domain.shared.NotSpecification,6,combo,ga_kmeans,10,EAID_677565B9_F38E_43bc_84AA_6D138346361A
27,cargotracker.domain.shared.OrSpecification,6,combo,ga_kmeans,10,EAID_99F10425_4D5A_48d6_BA83_844773D8466B
