,class_name,cluster,type,algo,project_id,xmi_id
1,daytrader.TradeAction,1,combo,ga_kmeans,11,EAID_5DE2F115_7C30_40b6_83C4_049847B69D2F
2,daytrader.beans.MarketSummaryDataBean,1,combo,ga_kmeans,11,EAID_DB99B9DA_B58C_4837_8836_01A752830FC9
3,daytrader.beans.RunStatsDataBean,1,combo,ga_kmeans,11,EAID_8B2C5A60_5538_460e_BC00_9E227446A874
4,daytrader.direct.KeySequenceDirect,1,combo,ga_kmeans,11,EAID_B936EC93_11AA_4721_8CCB_ADE5E7334351
5,daytrader.direct.TradeDirect,1,combo,ga_kmeans,11,EAID_F6FADA4A_D2FC_4674_A10A_67AC956BE827
6,daytrader.ejb3.DTBroker3MDB,1,combo,ga_kmeans,11,EAID_E86D6132_C2A0_4db1_AF14_2B2CEE299A44
7,daytrader.ejb3.DTStreamer3MDB,1,combo,ga_kmeans,11,EAID_DF41C371_51B6_455e_916E_893256AD1504
8,daytrader.ejb3.MarketSummarySingleton,1,combo,ga_kmeans,11,EAID_17D173A3_A690_4f55_8EDB_BE539F6ADFF1
9,daytrader.ejb3.TradeSLSBBean,1,combo,ga_kmeans,11,EAID_920D0B44_9AC0_45af_AAB8_F4E6137C2EFC
10,daytrader.ejb3.quotePriceComparator,0,combo,ga_kmeans,11,EAID_A301F815_4B2C_469a_9783_BBCC9FB0A637
11,daytrader.entities.AccountDataBean,1,combo,ga_kmeans,11,EAID_2318CCF3_8D84_4479_B7EC_DDB6113B7594
12,daytrader.entities.AccountProfileDataBean,1,combo,ga_kmeans,11,EAID_5F33F8C4_1121_417a_A73D_A12D23992F3C
13,daytrader.entities.HoldingDataBean,1,combo,ga_kmeans,11,EAID_19D43605_E98C_4df9_98AC_A6430EBC1E2D
14,daytrader.entities.OrderDataBean,1,combo,ga_kmeans,11,EAID_DD38F29E_9C8E_4581_93B2_AA531637130D
15,daytrader.entities.QuoteDataBean,1,combo,ga_kmeans,11,EAID_BC7789AF_8FE2_4a13_A9A9_6D2C1590DCB1
16,daytrader.util.CompleteOrderThread,1,combo,ga_kmeans,11,EAID_37354A3C_7DC0_4d37_B0BC_EC2A82DFC61D
17,daytrader.util.FinancialUtils,1,combo,ga_kmeans,11,EAID_52618200_21A6_4ca1_ABA7_F8AE4EEE88D5
18,daytrader.util.KeyBlock,1,combo,ga_kmeans,11,EAID_B95C4655_3E4A_438f_AA66_24F11E83454C
19,daytrader.util.KeyBlockIterator,1,combo,ga_kmeans,11,EAID_5DD2BE0C_A0E7_404e_B9D2_7941C21E1C5D
20,daytrader.util.Log,1,combo,ga_kmeans,11,EAID_D9C813F3_F65F_4264_91DE_D63EDBCE0C00
21,daytrader.util.MDBStats,1,combo,ga_kmeans,11,EAID_90B9303B_E76F_47dc_BB82_FAD5066A3464
22,daytrader.util.TimerStat,1,combo,ga_kmeans,11,EAID_A9C0426E_4431_40c8_9AE5_E71CCE3C9E70
23,daytrader.util.TradeConfig,1,combo,ga_kmeans,11,EAID_30DE344A_3CBB_43db_B748_62B3B18A1A71
24,daytrader.web.OrdersAlertFilter,1,combo,ga_kmeans,11,EAID_AE429CFF_088A_46c3_BE51_08A58E435FC3
25,daytrader.web.TestServlet,1,combo,ga_kmeans,11,EAID_69E66FEC_BC5E_41b6_8098_901F273F17BE
26,daytrader.web.TradeAppServlet,1,combo,ga_kmeans,11,EAID_CAFAE4F2_0FD3_4dd4_A79F_D23A74A0C55F
27,daytrader.web.TradeBuildDB,1,combo,ga_kmeans,11,EAID_718EFA94_F4C1_467b_B0ED_C83D7C1BCE18
28,daytrader.web.TradeConfigServlet,1,combo,ga_kmeans,11,EAID_39726128_B997_43dc_87F0_F74D224675AF
29,daytrader.web.TradeScenarioServlet,1,combo,ga_kmeans,11,EAID_E5F28FD2_C8BD_4685_9946_BE9D3B419166
30,daytrader.web.TradeServletAction,1,combo,ga_kmeans,11,EAID_3FF02AFE_417D_4fb6_B88E_76A49481A3B6
31,daytrader.web.TradeWebContextListener,0,combo,ga_kmeans,11,EAID_E249A913_3786_4ed6_8F24_DA80500DFE74
32,daytrader.web.jsf.AccountDataJSF,1,combo,ga_kmeans,11,EAID_3B38E851_EE32_41ee_B63D_E569FFC5021A
33,daytrader.web.jsf.ExternalContextProducer,0,combo,ga_kmeans,11,EAID_7C8360BB_F8B7_4837_9264_EAE6C3A850D1
34,daytrader.web.jsf.HoldingData,1,combo,ga_kmeans,11,EAID_62B215C3_2736_4b1c_897A_DA83253A3D32
35,daytrader.web.jsf.JSFLoginFilter,1,combo,ga_kmeans,11,EAID_1C3FF901_D32B_4907_83F9_DC480AD6464F
36,daytrader.web.jsf.LoginValidator,1,combo,ga_kmeans,11,EAID_6B8C2E5B_9586_45fe_A4FC_581631844C48
37,daytrader.web.jsf.MarketSummaryJSF,1,combo,ga_kmeans,11,EAID_E348FA77_0504_4584_89B1_1F1CDFA18F3B
38,daytrader.web.jsf.OrderData,1,combo,ga_kmeans,11,EAID_10F3B21A_6F6A_4569_9B5C_24AB0658B6EE
39,daytrader.web.jsf.OrderDataJSF,1,combo,ga_kmeans,11,EAID_90C98D68_D052_4619_A863_DBF6D97042DF
40,daytrader.web.jsf.PortfolioJSF,1,combo,ga_kmeans,11,EAID_B8645C36_E780_48ee_972E_F41A44940FB4
41,daytrader.web.jsf.QuoteData,1,combo,ga_kmeans,11,EAID_DCD4E6D9_A0D0_4c3e_9A0C_F1B33CC0C4BB
42,daytrader.web.jsf.QuoteJSF,1,combo,ga_kmeans,11,EAID_C36EC8DF_03E9_4574_9EA1_E9FF53D4A380
43,daytrader.web.jsf.TradeActionProducer,0,combo,ga_kmeans,11,EAID_211AE0B3_B2FB_4018_9EC9_21259FCAF49A
44,daytrader.web.jsf.TradeAppJSF,1,combo,ga_kmeans,11,EAID_35600836_35BB_45fb_9B6C_23C55CF3D9EA
45,daytrader.web.jsf.TradeConfigJSF,1,combo,ga_kmeans,11,EAID_3C51BC88_4D12_4725_9916_F51FFEB3E663
46,daytrader.web.prims.ExplicitGC,1,combo,ga_kmeans,11,EAID_19F94255_E632_4350_9708_FCDC71C97910
47,daytrader.web.prims.Handler,0,combo,ga_kmeans,11,EAID_5B248F09_C848_422e_9649_919FB1930E0D
48,daytrader.web.prims.Listener,1,combo,ga_kmeans,11,EAID_5E3624BB_0458_4d02_9569_3B0B583071C8
49,daytrader.web.prims.PingBean,0,combo,ga_kmeans,11,EAID_DAE1E772_0CEA_432e_8300_18191855C768
50,daytrader.web.prims.PingCDIBean,0,combo,ga_kmeans,11,EAID_8D6CA8AB_12A4_420b_A3D6_B1931F4B64BE
51,daytrader.web.prims.PingCDIJSFBean,0,combo,ga_kmeans,11,EAID_65B5CAD7_9B2F_43a1_A08A_DECE08693745
52,daytrader.web.prims.PingEJBLocal,0,combo,ga_kmeans,11,EAID_8B126469_951A_4054_824F_BAC3BD2FD679
53,daytrader.web.prims.PingEJBLocalDecorator,0,combo,ga_kmeans,11,EAID_D8B93725_019D_4e48_82E3_C4D77F5EA7F8
54,daytrader.web.prims.PingInterceptor,0,combo,ga_kmeans,11,EAID_AC1E4E80_E6E5_4579_929D_CB1A85CCD7BF
55,daytrader.web.prims.PingJDBCRead,1,combo,ga_kmeans,11,EAID_E9324A1E_E19D_414a_AED8_346476C7F72A
56,daytrader.web.prims.PingJDBCRead2JSP,1,combo,ga_kmeans,11,EAID_3EEC374A_48EA_4f3d_B3B0_E85D9641C07D
57,daytrader.web.prims.PingJDBCWrite,1,combo,ga_kmeans,11,EAID_D4486816_0F8A_4a9d_84A6_24B9605BC5D8
58,daytrader.web.prims.PingJSONP,1,combo,ga_kmeans,11,EAID_9F444967_A27F_4a01_83A4_5DD0C710BD63
59,daytrader.web.prims.PingManagedExecutor,1,combo,ga_kmeans,11,EAID_C3D44558_079F_4c88_9E3F_D8D3CE80852D
60,daytrader.web.prims.PingManagedThread,1,combo,ga_kmeans,11,EAID_070E7905_3ED9_44e3_80B1_BD20BF9E09BE
61,daytrader.web.prims.PingReentryServlet,1,combo,ga_kmeans,11,EAID_527C18A0_6F5D_48e1_8AFD_590E7B41106F
62,daytrader.web.prims.PingServlet,1,combo,ga_kmeans,11,EAID_76DE1DDB_D06B_4e08_A28D_FD28D1F35542
63,daytrader.web.prims.PingServlet2DB,1,combo,ga_kmeans,11,EAID_110E1D30_FB97_4661_945D_7A654FA68061
64,daytrader.web.prims.PingServlet2Include,1,combo,ga_kmeans,11,EAID_38592E64_E5AF_42c4_AC4D_845468A95F3D
65,daytrader.web.prims.PingServlet2IncludeRcv,0,combo,ga_kmeans,11,EAID_D8E96576_95FF_4105_A7B5_0BF2DF82AC68
66,daytrader.web.prims.PingServlet2JNDI,1,combo,ga_kmeans,11,EAID_C48676D4_BE1D_47be_9013_09C72DADA241
67,daytrader.web.prims.PingServlet2Jsp,0,combo,ga_kmeans,11,EAID_1A91BC5F_E5E8_4213_BAD1_B020252BF4A1
68,daytrader.web.prims.PingServlet2PDF,0,combo,ga_kmeans,11,EAID_85C1914D_AA5C_4b57_8A29_25C874DE1D65
69,daytrader.web.prims.PingServlet2Servlet,0,combo,ga_kmeans,11,EAID_09DBA08C_CBE1_4988_ABA8_D2DDBAB8FE13
70,daytrader.web.prims.PingServlet2ServletRcv,1,combo,ga_kmeans,11,EAID_FC7E7960_BE5A_4b92_A153_2D68DF7B23D8
71,daytrader.web.prims.PingServlet30Async,1,combo,ga_kmeans,11,EAID_ADCACC7F_0191_4ea5_B429_EF865F63EC5E
72,daytrader.web.prims.PingServlet31Async,1,combo,ga_kmeans,11,EAID_32A6C0E8_C5E6_4229_AFFC_9DA9C375D03C
73,daytrader.web.prims.PingServlet31AsyncRead,1,combo,ga_kmeans,11,EAID_1F885434_D2BC_49f7_9FBF_3B03DBEC440F
74,daytrader.web.prims.PingServletCDI,1,combo,ga_kmeans,11,EAID_46E92C8A_2C45_45d2_B92E_3403036C57AB
75,daytrader.web.prims.PingServletCDIBeanManagerViaCDICurrent,1,combo,ga_kmeans,11,EAID_CBC96942_E290_466d_A7BE_70606FACA955
76,daytrader.web.prims.PingServletCDIBeanManagerViaJNDI,1,combo,ga_kmeans,11,EAID_7972747C_1339_46bb_8E4A_0A376AF5BFD2
77,daytrader.web.prims.PingServletLargeContentLength,1,combo,ga_kmeans,11,EAID_792C113C_EF36_4606_A540_34E6DE1069BC
78,daytrader.web.prims.PingServletSetContentLength,1,combo,ga_kmeans,11,EAID_1A82993A_4511_468e_8A6D_2EFDE9C52788
79,daytrader.web.prims.PingServletWriter,1,combo,ga_kmeans,11,EAID_73CB34A8_127A_49a7_AE34_8F2E00D729A5
80,daytrader.web.prims.PingSession1,1,combo,ga_kmeans,11,EAID_7B544DFB_72C9_4e97_9D35_35C16E299974
81,daytrader.web.prims.PingSession2,1,combo,ga_kmeans,11,EAID_82570868_78F1_40f4_9BBB_AC123C4AA92B
