class_name,cluster,type,algo,project_id,xmi_id
ftgo.Config,1,combo,ga_kmeans,16,EAID_F28E25A9_4A57_467c_A91C_F481C1F4370E
ftgo.FtgoApplicationMain,1,combo,ga_kmeans,16,EAID_162A497E_4803_42be_A5EC_6816F782AA49
ftgo.common.Address,1,combo,ga_kmeans,16,EAID_B6310C01_070E_4f71_B3B0_6DE90A998AD2
ftgo.common.CommonConfiguration,1,combo,ga_kmeans,16,EAID_24A3F7FD_6072_49c4_8792_3F11C921396C
ftgo.common.CommonJsonMapperInitializer,1,combo,ga_kmeans,16,EAID_349CED13_B027_43db_ABE7_0FBD92BDC77A
ftgo.common.Money,0,combo,ga_kmeans,16,EAID_A9D0F68E_ABAC_4a65_84D0_ED5489E9F5AA
ftgo.common.MoneyContainer,1,combo,ga_kmeans,16,EAID_F01F4F95_861F_4761_B6AB_D020999F26EF
ftgo.common.MoneyDeserializer,1,combo,ga_kmeans,16,EAID_E365DC39_2CEC_46f3_B26A_F0F691828EE2
ftgo.common.MoneyModule,1,combo,ga_kmeans,16,EAID_2867EDED_C03E_4bcd_80A6_1B71653B0083
ftgo.common.MoneySerializer,1,combo,ga_kmeans,16,EAID_7E15CE97_9140_453b_BD2F_3AD70999B604
ftgo.common.NotYetImplementedException,1,combo,ga_kmeans,16,EAID_7A9E8134_FFA2_4205_B878_3FD383E05083
ftgo.common.PersonName,1,combo,ga_kmeans,16,EAID_4247F62C_5B11_4dec_8ABA_92B373E105E0
ftgo.common.UnsupportedStateTransitionException,1,combo,ga_kmeans,16,EAID_40DCAC75_D610_438a_BB3A_9389D6160A45
ftgo.consumerservice.api.web.CreateConsumerRequest,1,combo,ga_kmeans,16,EAID_D5D8D0BB_E9CE_4da8_9147_92C55FD420BA
ftgo.consumerservice.api.web.CreateConsumerResponse,1,combo,ga_kmeans,16,EAID_6B2D57BF_C8BB_4425_A26F_1519C2A3DBDE
ftgo.consumerservice.domain.ConsumerConfiguration,1,combo,ga_kmeans,16,EAID_35A28E9D_B3F8_4cbc_9A83_699A7B1DF3D4
ftgo.consumerservice.domain.ConsumerNotFoundException,1,combo,ga_kmeans,16,EAID_4685009E_CE15_4d31_A45E_6E9D2CCE46A8
ftgo.consumerservice.domain.ConsumerService,1,combo,ga_kmeans,16,EAID_E5D7530E_21F8_4539_B1A1_89A7B48E5267
ftgo.consumerservice.domain.ConsumerVerificationFailedException,1,combo,ga_kmeans,16,EAID_9079AAD3_7507_484a_A41A_768C1745B0EF
ftgo.consumerservice.main.ConsumerServiceConfiguration,1,combo,ga_kmeans,16,EAID_2282AE08_6F57_4557_8AE3_0D05143F7267
ftgo.consumerservice.web.ConsumerController,1,combo,ga_kmeans,16,EAID_75272D44_01C4_4bac_9EEF_E5EF1234EA50
ftgo.consumerservice.web.ConsumerWebConfiguration,1,combo,ga_kmeans,16,EAID_A486885D_F54B_4fac_A313_C4A1147C9CA4
ftgo.consumerservice.web.GetConsumerResponse,1,combo,ga_kmeans,16,EAID_AC31C626_07E0_4c61_BB7E_B0EAB3E358DB
ftgo.courierservice.api.CourierAvailability,1,combo,ga_kmeans,16,EAID_B5035F10_DAB1_4c17_B572_50259FD7B3EA
ftgo.courierservice.api.CreateCourierRequest,1,combo,ga_kmeans,16,EAID_842C6CC1_8FE1_4698_AEB5_3BB5227F1B68
ftgo.courierservice.api.CreateCourierResponse,1,combo,ga_kmeans,16,EAID_D373F32A_D00D_4559_ABDD_4B839110DA3E
ftgo.courierservice.domain.CourierService,1,combo,ga_kmeans,16,EAID_74DE81D7_64B4_4637_95C8_2C50B1AAA0B4
ftgo.courierservice.domain.CourierServiceConfiguration,1,combo,ga_kmeans,16,EAID_FF62D34F_EEC7_40fc_B135_48FF0F216450
ftgo.courierservice.web.CourierController,1,combo,ga_kmeans,16,EAID_53681C90_CB6A_46e0_8FA8_21423DB4654F
ftgo.courierservice.web.CourierWebConfiguration,1,combo,ga_kmeans,16,EAID_0EF17FF0_504A_497d_9DE4_E471D8078927
ftgo.domain.Action,1,combo,ga_kmeans,16,EAID_C7EE1E3C_F960_4735_8F35_F3BC33A46C91
ftgo.domain.ActionType,1,combo,ga_kmeans,16,EAID_9CE913F7_225A_46d5_BF1F_341E44F51BC7
ftgo.domain.Consumer,1,combo,ga_kmeans,16,EAID_B2F4B91B_F833_4317_8A0C_248E3AD63C7B
ftgo.domain.Courier,1,combo,ga_kmeans,16,EAID_C6AD1687_21D0_4fdb_9129_EA7687D3BB67
ftgo.domain.DeliveryInformation,1,combo,ga_kmeans,16,EAID_D50FC03B_7EA8_4f18_808D_9C1774E8DFBE
ftgo.domain.DomainConfiguration,1,combo,ga_kmeans,16,EAID_4CC11E59_80F1_4d0c_8663_228E9E55CECC
ftgo.domain.LineItemQuantityChange,1,combo,ga_kmeans,16,EAID_13F1DCC6_1D1A_42cc_B6B1_1074175CBDFD
ftgo.domain.MenuItem,1,combo,ga_kmeans,16,EAID_8C3FBCC6_9C86_4307_8BC7_9E0362E91E76
ftgo.domain.Order,1,combo,ga_kmeans,16,EAID_2FE1C5E5_E51E_41a9_90C1_3B8486E235F5
ftgo.domain.OrderLineItem,1,combo,ga_kmeans,16,EAID_589D1732_3C98_4b71_9FA4_1E51B0E957D9
ftgo.domain.OrderLineItems,1,combo,ga_kmeans,16,EAID_5A6EA341_815A_4fe2_BB25_B855C1AB6EC3
