,class_name,cluster,type,algo,project_id,xmi_id
1,jpetstore.domain.Account,6,combo,ga_kmeans,9,EAID_CF18179F_0B12_40e1_AEE5_200C51562CB1
2,jpetstore.domain.Cart,7,combo,ga_kmeans,9,EAID_42200E2E_0AE2_4e52_80D6_7AB2A6927B7B
3,jpetstore.domain.CartItem,9,combo,ga_kmeans,9,EAID_A317C1EE_6CFC_442b_B7F7_9715E776BF4A
4,jpetstore.domain.Category,3,combo,ga_kmeans,9,EAID_ADEA233A_C303_4488_A994_7EF3F31C11DE
5,jpetstore.domain.Item,9,combo,ga_kmeans,9,EAID_ABBD4F09_BCF6_43ee_BFB6_224B4F700FD6
6,jpetstore.domain.LineItem,8,combo,ga_kmeans,9,EAID_174B2DF0_6A2F_448e_AD0B_9A246A54BD3D
7,jpetstore.domain.Order,5,combo,ga_kmeans,9,EAID_44682E47_1BA8_4da7_9442_9155E4E5ED0C
8,jpetstore.domain.Product,3,combo,ga_kmeans,9,EAID_C2D7FA81_79B5_45cb_A908_F0A45E615A03
9,jpetstore.domain.Sequence,2,combo,ga_kmeans,9,EAID_FA12CED6_9E78_43e0_AD46_AEA2163ED8D9
10,jpetstore.service.AccountService,0,combo,ga_kmeans,9,EAID_FF6C246B_A4AE_4775_BFA9_0A8C62BD5C63
11,jpetstore.service.CatalogService,8,combo,ga_kmeans,9,EAID_1D023B7A_6E5B_4a20_A67E_023CC1589ED6
12,jpetstore.service.OrderService,4,combo,ga_kmeans,9,EAID_958768BF_97AE_4533_A470_7AE68E0C0602
13,jpetstore.web.actions.AbstractActionBean,2,combo,ga_kmeans,9,EAID_D9B2E202_254A_4fe1_9E0D_118D16411761
14,jpetstore.web.actions.AccountActionBean,1,combo,ga_kmeans,9,EAID_76F5C028_BFFC_4e58_B36E_73B4B6EB76EC
15,jpetstore.web.actions.CartActionBean,1,combo,ga_kmeans,9,EAID_4A9B6FA8_F6D8_46b8_B860_1941D5D7C757
16,jpetstore.web.actions.CatalogActionBean,1,combo,ga_kmeans,9,EAID_6C5910C8_EC4D_454c_88F4_EB27C1FDDCC5
17,jpetstore.web.actions.OrderActionBean,1,combo,ga_kmeans,9,EAID_FAFF51A1_CB85_4ad8_8105_A9DEFC5E3E11
