,class_name,cluster,type,algo,project_id,xmi_id
1,petclinic.PetClinicApplication,0,combo,ga_kmeans,13,EAID_94F298DA_1BBE_4c61_BA6C_FA456317E039
2,petclinic.model.BaseEntity,3,combo,ga_kmeans,13,EAID_D7E62003_AAD4_4b40_B85E_BCB8FF1D3C9D
3,petclinic.model.NamedEntity,3,combo,ga_kmeans,13,EAID_73B8B365_EA2E_4c4b_94AF_5065D38531E2
4,petclinic.model.Person,3,combo,ga_kmeans,13,EAID_EE936E15_C09F_476f_8AE6_71F666206E8F
5,petclinic.owner.Owner,4,combo,ga_kmeans,13,EAID_CB92B5A7_7D6E_4baf_8880_1A52DAC2794B
6,petclinic.owner.OwnerController,7,combo,ga_kmeans,13,EAID_13F2EA6E_1748_4e3f_B54D_58D5171F0DA5
7,petclinic.owner.Pet,2,combo,ga_kmeans,13,EAID_7354EDB0_B080_4a75_8EA1_BF2B2B6D6A40
8,petclinic.owner.PetController,7,combo,ga_kmeans,13,EAID_D0318A24_9686_4079_A954_E4FD59175A70
9,petclinic.owner.PetType,1,combo,ga_kmeans,13,EAID_C6BFE83D_429D_466d_B618_84C4202121BB
10,petclinic.owner.PetTypeFormatter,8,combo,ga_kmeans,13,EAID_83330E44_AD50_4590_B564_D2E2AED7F9AE
11,petclinic.owner.PetValidator,5,combo,ga_kmeans,13,EAID_741D35FA_0196_479a_95CD_FE13AAF2FE03
12,petclinic.owner.Visit,3,combo,ga_kmeans,13,EAID_9F38767F_7708_418a_BC63_412E89F047BA
13,petclinic.owner.VisitController,8,combo,ga_kmeans,13,EAID_B8E2A761_DD3A_410d_918A_B9120BF0124D
14,petclinic.service.EntityUtils,0,combo,ga_kmeans,13,EAID_41A872A6_C295_4724_83DA_40E2730C60DE
15,petclinic.system.CacheConfiguration,0,combo,ga_kmeans,13,EAID_4A6C98EE_68ED_4b3c_A6C4_EFB4EC851817
16,petclinic.system.CrashController,0,combo,ga_kmeans,13,EAID_83DF821F_E50D_4bb6_AFAD_8F435992BEE4
17,petclinic.system.WelcomeController,0,combo,ga_kmeans,13,EAID_1617101C_A6DE_4b68_8E6D_3D6DCDEFC986
18,petclinic.vet.Specialty,1,combo,ga_kmeans,13,EAID_DDD7337F_E0FF_48d3_8AEB_69A9CF1215CA
19,petclinic.vet.Vet,6,combo,ga_kmeans,13,EAID_C9D286AC_B824_4a86_9E98_214230D30ED2
20,petclinic.vet.VetController,8,combo,ga_kmeans,13,EAID_D1E50959_2617_451b_BAF8_3BA39194435B
21,petclinic.vet.Vets,0,combo,ga_kmeans,13,EAID_39173F78_7213_4263_B018_176E2E7BB5E4
