,class_name,cluster,type,algo,project_id,xmi_id
1,pbw.ejb.BackOrderMgr,0,combo,ga_kmeans,14,EAID_E17FA2E4_8CC4_4f38_BB04_010B0EAFB930
2,pbw.ejb.CatalogMgr,0,combo,ga_kmeans,14,EAID_996A0B98_1003_435b_941B_01A13C57E32D
3,pbw.ejb.CustomerMgr,0,combo,ga_kmeans,14,EAID_E5909140_BBD2_4e0a_A6F8_D56A5CA84F5B
4,pbw.ejb.EMailMessage,0,combo,ga_kmeans,14,EAID_DB996AE9_9F2C_404f_8AE7_A4A12CFE2A99
5,pbw.ejb.MailerAppException,0,combo,ga_kmeans,14,EAID_C22A34D8_23A6_4efc_B9F3_86D4613E936A
6,pbw.ejb.MailerBean,0,combo,ga_kmeans,14,EAID_0FD19656_D611_469e_B41D_D98A4A3F5AE0
7,pbw.ejb.NoSupplierException,0,combo,ga_kmeans,14,EAID_2C1FC251_0464_4711_8DBD_1E309407CDA4
8,pbw.ejb.ResetDBBean,0,combo,ga_kmeans,14,EAID_9EE051E9_EA6C_4368_A0D5_4C55FE05D460
9,pbw.ejb.ShoppingCartBean,0,combo,ga_kmeans,14,EAID_F991B2C1_684C_411a_83F3_2D64BC752FEF
10,pbw.ejb.ShoppingCartContent,0,combo,ga_kmeans,14,EAID_753CCFB0_8D5F_4ff5_8A7C_96FD35BF05E2
11,pbw.ejb.SuppliersBean,0,combo,ga_kmeans,14,EAID_F889570F_AFAD_42e6_BA62_5D4042FAEFC0
12,pbw.jpa.BackOrder,0,combo,ga_kmeans,14,EAID_3E34446B_5CC3_4f16_B285_1716272644E6
13,pbw.jpa.Customer,0,combo,ga_kmeans,14,EAID_8BD6A0A0_1756_4874_A3A5_FE6DA6E97948
14,pbw.jpa.Inventory,0,combo,ga_kmeans,14,EAID_3CE60992_8D52_40d3_BDEC_60CF73728C86
15,pbw.jpa.Order,0,combo,ga_kmeans,14,EAID_65010B27_34D5_443d_B059_E0DF4B616DA7
16,pbw.jpa.OrderItem,0,combo,ga_kmeans,14,EAID_0915DCDE_DDFF_48f8_A858_376C8F842175
17,pbw.jpa.OrderKey,0,combo,ga_kmeans,14,EAID_BD87CC94_C861_44e1_8200_82E6D3EAD067
18,pbw.jpa.PK,0,combo,ga_kmeans,14,EAID_57C31AFD_2132_492c_9471_40CD30FA6C87
19,pbw.jpa.Supplier,0,combo,ga_kmeans,14,EAID_CF9A7231_6E75_4ef0_A601_7551FD1D0DA9
20,pbw.migration.RedirectionFilter,0,combo,ga_kmeans,14,EAID_66745B64_FAFF_4670_85A1_7C91C6631167
21,pbw.utils.ListProperties,0,combo,ga_kmeans,14,EAID_37C0AAC8_AD8F_416c_8A44_46E29AF9462C
22,pbw.utils.Util,0,combo,ga_kmeans,14,EAID_D3BBDC61_20EF_4a70_8DD5_D5DCF0C46318
23,pbw.war.AccountBean,1,combo,ga_kmeans,14,EAID_60A6C5A6_D347_4f9c_9E99_375E370922DF
24,pbw.war.AccountServlet,0,combo,ga_kmeans,14,EAID_2D6B3544_4FB3_4e2b_954E_78FBD63BA4DE
25,pbw.war.AdminServlet,0,combo,ga_kmeans,14,EAID_2A500188_EF09_48b5_9163_9270F3EE28EA
26,pbw.war.BackOrderItem,0,combo,ga_kmeans,14,EAID_66D9CD60_95C2_464c_8B78_B2068443FF39
27,pbw.war.HelpBean,0,combo,ga_kmeans,14,EAID_9D6BC0A3_7AE5_407d_AFE4_45EB2D98B270
28,pbw.war.ImageServlet,0,combo,ga_kmeans,14,EAID_21B7FC47_E05F_4fc0_B283_9CEF5FECA19D
29,pbw.war.LoginInfo,0,combo,ga_kmeans,14,EAID_507C6D07_C23B_4182_B6C5_83FBE7A8AEE9
30,pbw.war.MailAction,0,combo,ga_kmeans,14,EAID_90925392_6170_4ece_B77D_6833E04D202B
31,pbw.war.OrderInfo,0,combo,ga_kmeans,14,EAID_AD03712B_E48A_4811_BB27_01B336A743BE
32,pbw.war.Populate,0,combo,ga_kmeans,14,EAID_5F322C56_8A5C_4cd1_9C03_D1D11CA09BAE
33,pbw.war.ProductBean,0,combo,ga_kmeans,14,EAID_1E9FA121_3D0A_4c33_AC5F_629E39FCD5FD
34,pbw.war.ShoppingBean,0,combo,ga_kmeans,14,EAID_18D83325_5684_4c9e_AA60_EC78C07B99CC
35,pbw.war.ShoppingItem,0,combo,ga_kmeans,14,EAID_34CE7541_C4E0_4241_9A50_3862E709EEFF
36,pbw.war.ValidatePasswords,0,combo,ga_kmeans,14,EAID_6DC0230E_0AA9_4b85_BD6C_7D75FFEDC6DE
37,pbw.war.ValidatorUtils,0,combo,ga_kmeans,14,EAID_5759C541_BA35_4491_8705_BBC433629171
